"id","part_id","units_per_hour","work_table_id","semi_auto_work_table_id","machine_id","persons_1","persons_2","persons_3","active","is_migrated","description","deleted_at","created_at","updated_at"
"","318","230",NULL,NULL,NULL,"","2","","1","0","Standard mesa manual STS E-C-249-8","","2026-04-09 20:05:00",""
"","313","136",NULL,NULL,NULL,"","2","","1","0","Standard mesa manual STS E-C4-1","","2026-04-09 20:05:00",""
"","314","184",NULL,NULL,NULL,"","2","","1","0","Standard mesa manual STS E-C4-2","","2026-04-09 20:05:00",""
"","315","144",NULL,NULL,NULL,"","2","","1","0","Standard mesa manual STS E-C4-3","","2026-04-09 20:05:00",""
"","316","112",NULL,NULL,NULL,"1","2","","1","0","Standard mesa manual STS E-C4-4","","2026-04-09 20:05:00",""
"","317","144",NULL,NULL,NULL,"1","2","","1","0","Standard mesa manual STS E-C4-5","","2026-04-09 20:05:00",""
"","347","117",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-BML-122-10","","2026-04-09 20:05:00",""
"","332","121",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-BML-124-10","","2026-04-09 20:05:00",""
"","349","116",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-BML-224-10","","2026-04-09 20:05:00",""
"","412","113",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-BML-322-10","","2026-04-09 20:05:00",""
"","333","124",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-BML-324-10","","2026-04-09 20:05:00",""
"","416","123",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-BML-424-10","","2026-04-09 20:05:00",""
"","366","127",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-BML-B124-10","","2026-04-09 20:05:00",""
"","350","113",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-BML-B324-10","","2026-04-09 20:05:00",""
"","334","93",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-BML-B424-10","","2026-04-09 20:05:00",""
"","414","272",NULL,NULL,NULL,"","2","","1","0","Standard mesa manual STS H-C-075","","2026-04-09 20:05:00",""
"","8","375",NULL,NULL,NULL,"1","2","3","1","0","Standard mesa manual STS H-C-1","","2026-04-09 20:05:00",""
"","214","324",NULL,NULL,NULL,"","2","","1","0","Standard mesa manual STS H-C-11","","2026-04-09 20:05:00",""
"","11","307",NULL,NULL,NULL,"1","2","","1","0","Standard mesa manual STS H-C-112","","2026-04-09 20:05:00",""
"","14","226",NULL,NULL,NULL,"1","2","3","1","0","Standard mesa manual STS H-C-2","","2026-04-09 20:05:00",""
"","217","375",NULL,NULL,NULL,"1","2","","1","0","Standard mesa manual STS H-C-22","","2026-04-09 20:05:00",""
"","413","396",NULL,NULL,NULL,"1","2","","1","0","Standard mesa manual STS H-C-2-2","","2026-04-09 20:05:00",""
"","15","237",NULL,NULL,NULL,"","2","","1","0","Standard mesa manual STS H-C-249-1","","2026-04-09 20:05:00",""
"","21","2500",NULL,NULL,NULL,"1","2","3","1","0","Standard mesa manual STS H-C-3","","2026-04-09 20:05:00",""
"","23","300",NULL,NULL,NULL,"","2","","1","0","Standard mesa manual STS H-C-3-2","","2026-04-09 20:05:00",""
"","24","192",NULL,NULL,NULL,"1","2","","1","0","Standard mesa manual STS H-C-4","","2026-04-09 20:05:00",""
"","25","375",NULL,NULL,NULL,"1","2","","1","0","Standard mesa manual STS H-C4-1","","2026-04-09 20:05:00",""
"","26","385",NULL,NULL,NULL,"1","2","3","1","0","Standard mesa manual STS H-C4-2","","2026-04-09 20:05:00",""
"","27","375",NULL,NULL,NULL,"1","2","3","1","0","Standard mesa manual STS H-C4-3","","2026-04-09 20:05:00",""
"","29","375",NULL,NULL,NULL,"1","2","3","1","0","Standard mesa manual STS H-C4-4","","2026-04-09 20:05:00",""
