"id","standard_id","workstation_type","workstation_id","persons_required","units_per_hour","is_default","notes","created_at","updated_at"
"","1","manual",NULL,"2","230","1","","2026-04-09 20:05:00",""
"","2","manual",NULL,"2","136","1","","2026-04-09 20:05:00",""
"","3","manual",NULL,"2","184","1","","2026-04-09 20:05:00",""
"","4","manual",NULL,"2","144","1","","2026-04-09 20:05:00",""
"","5","manual",NULL,"1","112","1","","2026-04-09 20:05:00",""
"","5","manual",NULL,"2","115","0","","2026-04-09 20:05:00",""
"","6","manual",NULL,"1","144","1","","2026-04-09 20:05:00",""
"","6","manual",NULL,"2","144","0","","2026-04-09 20:05:00",""
"","7","manual",NULL,"3","117","1","","2026-04-09 20:05:00",""
"","8","manual",NULL,"3","121","1","","2026-04-09 20:05:00",""
"","9","manual",NULL,"3","116","1","","2026-04-09 20:05:00",""
"","10","manual",NULL,"3","113","1","","2026-04-09 20:05:00",""
"","11","manual",NULL,"3","124","1","","2026-04-09 20:05:00",""
"","12","manual",NULL,"3","123","1","","2026-04-09 20:05:00",""
"","13","manual",NULL,"3","127","1","","2026-04-09 20:05:00",""
"","14","manual",NULL,"3","113","1","","2026-04-09 20:05:00",""
"","15","manual",NULL,"3","93","1","","2026-04-09 20:05:00",""
"","16","manual",NULL,"2","272","1","","2026-04-09 20:05:00",""
"","17","manual",NULL,"1","375","1","","2026-04-09 20:05:00",""
"","17","manual",NULL,"2","215","0","","2026-04-09 20:05:00",""
"","17","manual",NULL,"3","189","0","","2026-04-09 20:05:00",""
"","18","manual",NULL,"2","324","1","","2026-04-09 20:05:00",""
"","19","manual",NULL,"1","307","1","","2026-04-09 20:05:00",""
"","19","manual",NULL,"2","269","0","","2026-04-09 20:05:00",""
"","20","manual",NULL,"1","226","1","","2026-04-09 20:05:00",""
"","20","manual",NULL,"2","214","0","","2026-04-09 20:05:00",""
"","20","manual",NULL,"3","173","0","","2026-04-09 20:05:00",""
"","21","manual",NULL,"1","375","1","","2026-04-09 20:05:00",""
"","21","manual",NULL,"2","329","0","","2026-04-09 20:05:00",""
"","22","manual",NULL,"1","396","1","","2026-04-09 20:05:00",""
"","22","manual",NULL,"2","328","0","","2026-04-09 20:05:00",""
"","23","manual",NULL,"2","237","1","","2026-04-09 20:05:00",""
"","24","manual",NULL,"1","2500","1","","2026-04-09 20:05:00",""
"","24","manual",NULL,"2","228","0","","2026-04-09 20:05:00",""
"","24","manual",NULL,"3","177","0","","2026-04-09 20:05:00",""
"","25","manual",NULL,"2","300","1","","2026-04-09 20:05:00",""
"","26","manual",NULL,"1","192","1","","2026-04-09 20:05:00",""
"","26","manual",NULL,"2","183","0","","2026-04-09 20:05:00",""
"","27","manual",NULL,"1","375","1","","2026-04-09 20:05:00",""
"","27","manual",NULL,"2","183","0","","2026-04-09 20:05:00",""
"","28","manual",NULL,"1","385","1","","2026-04-09 20:05:00",""
"","28","manual",NULL,"2","200","0","","2026-04-09 20:05:00",""
"","28","manual",NULL,"3","184","0","","2026-04-09 20:05:00",""
"","29","manual",NULL,"1","375","1","","2026-04-09 20:05:00",""
"","29","manual",NULL,"2","208","0","","2026-04-09 20:05:00",""
"","29","manual",NULL,"3","197","0","","2026-04-09 20:05:00",""
"","30","manual",NULL,"1","375","1","","2026-04-09 20:05:00",""
"","30","manual",NULL,"2","202","0","","2026-04-09 20:05:00",""
"","30","manual",NULL,"3","168","0","","2026-04-09 20:05:00",""
"","31","manual",NULL,"2","200","1","","2026-04-09 20:05:00",""
"","32","manual",NULL,"2","208","1","","2026-04-09 20:05:00",""
"","33","manual",NULL,"2","203","1","","2026-04-09 20:05:00",""
"","33","manual",NULL,"3","187","0","","2026-04-09 20:05:00",""
"","34","manual",NULL,"1","188","1","","2026-04-09 20:05:00",""
"","34","manual",NULL,"2","181","0","","2026-04-09 20:05:00",""
"","35","manual",NULL,"1","105","1","","2026-04-09 20:05:00",""
"","35","manual",NULL,"2","125","0","","2026-04-09 20:05:00",""
"","36","manual",NULL,"2","204","1","","2026-04-09 20:05:00",""
"","37","manual",NULL,"2","208","1","","2026-04-09 20:05:00",""
"","38","manual",NULL,"2","228","1","","2026-04-09 20:05:00",""
"","39","manual",NULL,"1","186","1","","2026-04-09 20:05:00",""
"","39","manual",NULL,"2","204","0","","2026-04-09 20:05:00",""
