"id","number","employees","active","comments","area_id","production_status_id","standard_id","created_at","updated_at","deleted_at"
"","1","3","1","Mesa de Ensamble","1","1",NULL,"2026-04-09 20:05:00","",""
"","2","3","1","Mesa de Ensamble","1","1",NULL,"2026-04-09 20:05:00","",""
"","3","3","1","Mesa de Ensamble","1","1",NULL,"2026-04-09 20:05:00","",""
"","4","3","1","Mesa de Ensamble","1","1",NULL,"2026-04-09 20:05:00","",""
"","5","3","1","Mesa de Ensamble","1","1",NULL,"2026-04-09 20:05:00","",""
"","6","3","1","Mesa de Ensamble","1","1",NULL,"2026-04-09 20:05:00","",""
"","7","3","1","Mesa de Ensamble","1","1",NULL,"2026-04-09 20:05:00","",""
"","8","3","1","Mesa de Ensamble","1","1",NULL,"2026-04-09 20:05:00","",""
"","9","3","1","Mesa de Ensamble","1","1",NULL,"2026-04-09 20:05:00","",""
"","10","3","1","Mesa de Ensamble","1","1",NULL,"2026-04-09 20:05:00","",""
"","11","3","1","Mesa de Ensamble","1","1",NULL,"2026-04-09 20:05:00","",""
"","12","3","1","Mesa de Ensamble","1","1",NULL,"2026-04-09 20:05:00","",""
"","13","3","1","Mesa de Ensamble","1","1",NULL,"2026-04-09 20:05:00","",""
"","14","3","1","Mesa de Ensamble","1","1",NULL,"2026-04-09 20:05:00","",""
"","15","3","1","Mesa de Ensamble","1","1",NULL,"2026-04-09 20:05:00","",""
"","16","3","1","Mesa de Ensamble","1","1",NULL,"2026-04-09 20:05:00","",""
"","17","3","1","Mesa de Ensamble","1","1",NULL,"2026-04-09 20:05:00","",""
