id,name,description,comments,user_id,department_id,created_at,updated_at
"","Ensamble Mesas","Produccion",NULL,NULL,1,"2026-01-01 08:00:00",NULL
"","Ensamble Maquinas STS","Produccion",NULL,NULL,1,"2026-01-01 8:00",NULL
"","Ensamble Mesas Semi Automaticas","Produccion",NULL,NULL,1,"2026-01-01 08:00:00",NULL
"","Marcado de Plastico","Control de Materiales",NULL,NULL,5,"2026-01-01 08:00:00",NULL
"","Corte de Plastico","Control de Materiales",NULL,NULL,5,"2026-01-01 08:00:00",NULL
"","Corte de Insert","Control de Materiales",NULL,NULL,5,"2026-01-01 08:00:00",NULL
"","Marcado de Crimp","Control de Materiales",NULL,NULL,5,"2026-01-01 08:00:00",NULL
"","Corte y Estanado de Cable","Control de Materiales",NULL,NULL,5,"2026-01-01 08:00:00",NULL
"","Calidad","Calidad",NULL,NULL,3,"2026-01-01 08:00:00",NULL
"","Mantenimiento","Mantenimiento",NULL,NULL,3,"2026-01-01 08:00:00",NULL
"","Empaque","Empaque",NULL,NULL,4,"2026-01-01 08:00:00",NULL
"","Recursos Humanos","Recursos Humanos",NULL,NULL,2,"2026-01-01 08:00:00",NULL
