part_id,Temporal,Temporal 2,work_table_id,semi_auto_work_table_id,machine_id,units_per_hour,persons_1,persons_2,persons_3,active,is_migrated,description
OBLIGATORIO - ID de la parte en tabla parts,Descripcion,Descripcion sin STS,OPCIONAL - ID de mesa manual en tabla tables (dejar vacio si no aplica) - Solo uno de los tres IDs debe estar poblado,OPCIONAL - ID de mesa semi-automatica en tabla semi__automatics (nota: doble guion bajo en nombre de tabla) (dejar vacio si no aplica),OPCIONAL - ID de maquina en tabla machines (dejar vacio si no aplica),OBLIGATORIO - Entero >= 1 - Unidades producidas por hora,OPCIONAL - Numero de personas en configuracion 1 (ej: 1),OPCIONAL - Numero de personas en configuracion 2 (ej: 2) - dejar vacio si no aplica,OPCIONAL - Numero de personas en configuracion 3 (ej: 3) - dejar vacio si no aplica,OPCIONAL - 1=activo 0=inactivo - Default: 1,OPCIONAL - 0=importacion masiva legacy 1=usa standard_configurations - Default: 0 para importacion masiva,OPCIONAL - Descripcion o referencia del standard
189-10004,STS H-CL-181-1222-90/9,H-CL-181-1222-90/9,,,,53,,2,,1,0,
189-10005,STS H-CL-181-1224-90/9,H-CL-181-1224-90/9,,,,53,,,3,1,0,
189-10006,STS H-CL-181-1226-90/9,H-CL-181-1226-90/9,,,,53,,,3,1,0,
189-10009,STS H-CL-181-2222-90/9,H-CL-181-2222-90/9,,,,53,,,3,1,0,
189-10010,STS H-CL-181-2222-90/9-10,H-CL-181-2222-90/9-10,,,,53,,,3,1,0,
189-10011,STS H-CL-181-3222-0/9,H-CL-181-3222-0/9,,,,53,,,3,1,0,
189-10012,STS H-CL-181-3222-90/9,H-CL-181-3222-90/9,,,,104,,,3,1,0,
189-10044,STS H-C-1,H-C-1,,,,375,1,,,1,0,
189-10044,STS H-C-1,H-C-1,,,,215,,2,,1,0,
189-10044,STS H-C-1,H-C-1,,,,189,,,3,1,0,
189-10046,STS H-C110-35,H-C110-35,,,,Pend,,,,1,0,
189-10048,STS H-C-110-41,H-C-110-41,,,,Pend,,,,1,0,
189-10049,STS H-C-112,H-C-112,,,,307,1,,,1,0,
