"id","standard_id","workstation_type","workstation_id","persons_required","units_per_hour","is_default","notes","created_at","updated_at"
NULL,1,"manual",NULL,2,230,1,NULL,"2026-04-09 20:05:00",NULL
NULL,2,"manual",NULL,2,136,1,NULL,"2026-04-09 20:05:00",NULL
NULL,3,"manual",NULL,2,184,1,NULL,"2026-04-09 20:05:00",NULL
NULL,4,"manual",NULL,2,144,1,NULL,"2026-04-09 20:05:00",NULL
NULL,5,"manual",NULL,1,112,1,NULL,"2026-04-09 20:05:00",NULL
NULL,5,"manual",NULL,2,115,0,NULL,"2026-04-09 20:05:00",NULL
NULL,6,"manual",NULL,1,144,1,NULL,"2026-04-09 20:05:00",NULL
NULL,6,"manual",NULL,2,144,0,NULL,"2026-04-09 20:05:00",NULL
NULL,7,"manual",NULL,3,117,1,NULL,"2026-04-09 20:05:00",NULL
NULL,8,"manual",NULL,3,121,1,NULL,"2026-04-09 20:05:00",NULL
NULL,9,"manual",NULL,3,116,1,NULL,"2026-04-09 20:05:00",NULL
NULL,10,"manual",NULL,3,113,1,NULL,"2026-04-09 20:05:00",NULL
NULL,11,"manual",NULL,3,124,1,NULL,"2026-04-09 20:05:00",NULL
NULL,12,"manual",NULL,3,123,1,NULL,"2026-04-09 20:05:00",NULL
NULL,13,"manual",NULL,3,127,1,NULL,"2026-04-09 20:05:00",NULL
NULL,14,"manual",NULL,3,113,1,NULL,"2026-04-09 20:05:00",NULL
NULL,15,"manual",NULL,3,93,1,NULL,"2026-04-09 20:05:00",NULL
NULL,16,"manual",NULL,2,272,1,NULL,"2026-04-09 20:05:00",NULL
NULL,17,"manual",NULL,1,375,1,NULL,"2026-04-09 20:05:00",NULL
NULL,17,"manual",NULL,2,215,0,NULL,"2026-04-09 20:05:00",NULL
NULL,17,"manual",NULL,3,189,0,NULL,"2026-04-09 20:05:00",NULL
NULL,18,"manual",NULL,2,324,1,NULL,"2026-04-09 20:05:00",NULL
NULL,19,"manual",NULL,1,307,1,NULL,"2026-04-09 20:05:00",NULL
NULL,19,"manual",NULL,2,269,0,NULL,"2026-04-09 20:05:00",NULL
NULL,20,"manual",NULL,1,226,1,NULL,"2026-04-09 20:05:00",NULL
NULL,20,"manual",NULL,2,214,0,NULL,"2026-04-09 20:05:00",NULL
NULL,20,"manual",NULL,3,173,0,NULL,"2026-04-09 20:05:00",NULL
NULL,21,"manual",NULL,1,375,1,NULL,"2026-04-09 20:05:00",NULL
NULL,21,"manual",NULL,2,329,0,NULL,"2026-04-09 20:05:00",NULL
NULL,22,"manual",NULL,1,396,1,NULL,"2026-04-09 20:05:00",NULL
NULL,22,"manual",NULL,2,328,0,NULL,"2026-04-09 20:05:00",NULL
NULL,23,"manual",NULL,2,237,1,NULL,"2026-04-09 20:05:00",NULL
NULL,24,"manual",NULL,1,2500,1,NULL,"2026-04-09 20:05:00",NULL
NULL,24,"manual",NULL,2,228,0,NULL,"2026-04-09 20:05:00",NULL
NULL,24,"manual",NULL,3,177,0,NULL,"2026-04-09 20:05:00",NULL
NULL,25,"manual",NULL,2,300,1,NULL,"2026-04-09 20:05:00",NULL
NULL,26,"manual",NULL,1,192,1,NULL,"2026-04-09 20:05:00",NULL
NULL,26,"manual",NULL,2,183,0,NULL,"2026-04-09 20:05:00",NULL
NULL,27,"manual",NULL,1,375,1,NULL,"2026-04-09 20:05:00",NULL
NULL,27,"manual",NULL,2,183,0,NULL,"2026-04-09 20:05:00",NULL
NULL,28,"manual",NULL,1,385,1,NULL,"2026-04-09 20:05:00",NULL
NULL,28,"manual",NULL,2,200,0,NULL,"2026-04-09 20:05:00",NULL
NULL,28,"manual",NULL,3,184,0,NULL,"2026-04-09 20:05:00",NULL
NULL,29,"manual",NULL,1,375,1,NULL,"2026-04-09 20:05:00",NULL
NULL,29,"manual",NULL,2,208,0,NULL,"2026-04-09 20:05:00",NULL
NULL,29,"manual",NULL,3,197,0,NULL,"2026-04-09 20:05:00",NULL
NULL,30,"manual",NULL,1,375,1,NULL,"2026-04-09 20:05:00",NULL
NULL,30,"manual",NULL,2,202,0,NULL,"2026-04-09 20:05:00",NULL
NULL,30,"manual",NULL,3,168,0,NULL,"2026-04-09 20:05:00",NULL
NULL,31,"manual",NULL,2,200,1,NULL,"2026-04-09 20:05:00",NULL
NULL,32,"manual",NULL,2,208,1,NULL,"2026-04-09 20:05:00",NULL
NULL,33,"manual",NULL,2,203,1,NULL,"2026-04-09 20:05:00",NULL
NULL,33,"manual",NULL,3,187,0,NULL,"2026-04-09 20:05:00",NULL
NULL,34,"manual",NULL,1,188,1,NULL,"2026-04-09 20:05:00",NULL
NULL,34,"manual",NULL,2,181,0,NULL,"2026-04-09 20:05:00",NULL
NULL,35,"manual",NULL,1,105,1,NULL,"2026-04-09 20:05:00",NULL
NULL,35,"manual",NULL,2,125,0,NULL,"2026-04-09 20:05:00",NULL
NULL,36,"manual",NULL,2,204,1,NULL,"2026-04-09 20:05:00",NULL
NULL,37,"manual",NULL,2,208,1,NULL,"2026-04-09 20:05:00",NULL
NULL,38,"manual",NULL,2,228,1,NULL,"2026-04-09 20:05:00",NULL
NULL,39,"manual",NULL,1,186,1,NULL,"2026-04-09 20:05:00",NULL
NULL,39,"manual",NULL,2,204,0,NULL,"2026-04-09 20:05:00",NULL
NULL,40,"manual",NULL,2,142,1,NULL,"2026-04-09 20:05:00",NULL
NULL,41,"manual",NULL,1,145,1,NULL,"2026-04-09 20:05:00",NULL
NULL,41,"manual",NULL,2,133,0,NULL,"2026-04-09 20:05:00",NULL
NULL,41,"manual",NULL,3,124,0,NULL,"2026-04-09 20:05:00",NULL
NULL,42,"manual",NULL,2,192,1,NULL,"2026-04-09 20:05:00",NULL
NULL,43,"manual",NULL,2,224,1,NULL,"2026-04-09 20:05:00",NULL
NULL,44,"manual",NULL,2,224,1,NULL,"2026-04-09 20:05:00",NULL
NULL,45,"manual",NULL,2,226,1,NULL,"2026-04-09 20:05:00",NULL
NULL,46,"manual",NULL,1,174,1,NULL,"2026-04-09 20:05:00",NULL
NULL,46,"manual",NULL,2,174,0,NULL,"2026-04-09 20:05:00",NULL
NULL,47,"manual",NULL,1,600,1,NULL,"2026-04-09 20:05:00",NULL
NULL,47,"manual",NULL,2,245,0,NULL,"2026-04-09 20:05:00",NULL
NULL,48,"manual",NULL,2,245,1,NULL,"2026-04-09 20:05:00",NULL
NULL,49,"manual",NULL,2,120,1,NULL,"2026-04-09 20:05:00",NULL
NULL,50,"manual",NULL,2,228,1,NULL,"2026-04-09 20:05:00",NULL
NULL,51,"manual",NULL,1,2500,1,NULL,"2026-04-09 20:05:00",NULL
NULL,51,"manual",NULL,2,0,0,NULL,"2026-04-09 20:05:00",NULL
NULL,52,"manual",NULL,2,149,1,NULL,"2026-04-09 20:05:00",NULL
NULL,53,"manual",NULL,1,225,1,NULL,"2026-04-09 20:05:00",NULL
