"id","price_id","min_quantity","max_quantity","tier_price","created_at","updated_at"
"","14",1000,49999,"0.0000","2026-04-09 20:05:00",NULL
"","14",50000,200000,"0.0853","2026-04-09 20:05:00",NULL
"","21",50000,200000,"0.0909","2026-04-09 20:05:00",NULL
"","81",1000,49999,"0.0000","2026-04-09 20:05:00",NULL
"","81",50000,200000,"0.0853","2026-04-09 20:05:00",NULL
"","82",1000,49999,"0.0000","2026-04-09 20:05:00",NULL
"","82",50000,200000,"0.0958","2026-04-09 20:05:00",NULL
"","130",50000,99999,"0.1830","2026-04-09 20:05:00",NULL
"","130",100000,200000,"0.1686","2026-04-09 20:05:00",NULL
"","135",50000,99999,"0.1554","2026-04-09 20:05:00",NULL
"","135",100000,200000,"0.1484","2026-04-09 20:05:00",NULL
"","164",50000,200000,"0.0853","2026-04-09 20:05:00",NULL
"","170",50000,200000,"0.0885","2026-04-09 20:05:00",NULL
