id,price_id,min_quantity,max_quantity,tier_price,created_at,updated_at
,15,1000,49999,0.0000,"2026-04-09 20:05:00",
,15,50000,200000,0.0853,"2026-04-09 20:05:00",
,23,50000,200000,0.0909,"2026-04-09 20:05:00",
,93,1000,49999,0.0000,"2026-04-09 20:05:00",
,93,50000,200000,0.0853,"2026-04-09 20:05:00",
,94,1000,49999,0.0000,"2026-04-09 20:05:00",
,94,50000,200000,0.0958,"2026-04-09 20:05:00",
,143,50000,99999,0.1830,"2026-04-09 20:05:00",
,143,100000,200000,0.1686,"2026-04-09 20:05:00",
,149,50000,99999,0.1554,"2026-04-09 20:05:00",
,149,100000,200000,0.1484,"2026-04-09 20:05:00",
,180,50000,200000,0.0853,"2026-04-09 20:05:00",
,187,50000,200000,0.0885,"2026-04-09 20:05:00",
