"id","price_id","min_quantity","max_quantity","tier_price","created_at","updated_at"
"","8",2000,10999,"0.1429","2026-04-09 20:05:00",NULL
"","8",11000,200000,"0.0000","2026-04-09 20:05:00",NULL
"","24",2000,10999,"0.1454","2026-04-09 20:05:00",NULL
"","24",11000,200000,"0.1440","2026-04-09 20:05:00",NULL
"","25",2000,10999,"0.1567","2026-04-09 20:05:00",NULL
"","25",11000,200000,"0.1560","2026-04-09 20:05:00",NULL
"","26",2000,10999,"0.1559","2026-04-09 20:05:00",NULL
"","26",11000,200000,"0.1551","2026-04-09 20:05:00",NULL
"","27",2000,10999,"0.1788","2026-04-09 20:05:00",NULL
"","27",11000,200000,"0.1779","2026-04-09 20:05:00",NULL
"","29",2000,10999,"0.1927","2026-04-09 20:05:00",NULL
"","29",11000,200000,"0.1901","2026-04-09 20:05:00",NULL
"","40",2000,10999,"0.1567","2026-04-09 20:05:00",NULL
"","40",11000,200000,"0.1560","2026-04-09 20:05:00",NULL
"","42",2000,10999,"0.2073","2026-04-09 20:05:00",NULL
"","42",11000,200000,"0.2007","2026-04-09 20:05:00",NULL
"","44",2000,10999,"0.2099","2026-04-09 20:05:00",NULL
"","44",11000,200000,"0.2073","2026-04-09 20:05:00",NULL
"","53",2000,10999,"0.1536","2026-04-09 20:05:00",NULL
"","53",11000,200000,"0.1531","2026-04-09 20:05:00",NULL
"","160",2000,10999,"0.1195","2026-04-09 20:05:00",NULL
"","160",11000,200000,"0.1185","2026-04-09 20:05:00",NULL
"","173",2000,10999,"0.1503","2026-04-09 20:05:00",NULL
"","173",11000,200000,"0.1464","2026-04-09 20:05:00",NULL
"","175",2000,10999,"0.1452","2026-04-09 20:05:00",NULL
"","175",11000,200000,"0.1461","2026-04-09 20:05:00",NULL
"","217",2000,10999,"0.1666","2026-04-09 20:05:00",NULL
"","217",11000,200000,"0.1659","2026-04-09 20:05:00",NULL
