id,price_id,min_quantity,max_quantity,tier_price,created_at,updated_at
,9,2000,10999,0.1429,"2026-04-09 20:05:00",
,9,11000,200000,0.0000,"2026-04-09 20:05:00",
,27,2000,10999,0.1454,"2026-04-09 20:05:00",
,27,11000,200000,0.1440,"2026-04-09 20:05:00",
,29,2000,10999,0.1567,"2026-04-09 20:05:00",
,29,11000,200000,0.1560,"2026-04-09 20:05:00",
,31,2000,10999,0.1559,"2026-04-09 20:05:00",
,31,11000,200000,0.1551,"2026-04-09 20:05:00",
,33,2000,10999,0.1788,"2026-04-09 20:05:00",
,33,11000,200000,0.1779,"2026-04-09 20:05:00",
,36,2000,10999,0.1927,"2026-04-09 20:05:00",
,36,11000,200000,0.1901,"2026-04-09 20:05:00",
,48,2000,10999,0.1567,"2026-04-09 20:05:00",
,48,11000,200000,0.1560,"2026-04-09 20:05:00",
,51,2000,10999,0.2073,"2026-04-09 20:05:00",
,51,11000,200000,0.2007,"2026-04-09 20:05:00",
,54,2000,10999,0.2099,"2026-04-09 20:05:00",
,54,11000,200000,0.2073,"2026-04-09 20:05:00",
,64,2000,10999,0.1536,"2026-04-09 20:05:00",
,64,11000,200000,0.1531,"2026-04-09 20:05:00",
,175,2000,10999,0.1195,"2026-04-09 20:05:00",
,175,11000,200000,0.1185,"2026-04-09 20:05:00",
,191,2000,10999,0.1503,"2026-04-09 20:05:00",
,191,11000,200000,0.1464,"2026-04-09 20:05:00",
,194,2000,10999,0.1452,"2026-04-09 20:05:00",
,194,11000,200000,0.1461,"2026-04-09 20:05:00",
,237,2000,10999,0.1666,"2026-04-09 20:05:00",
,237,11000,200000,0.1659,"2026-04-09 20:05:00",
