id,price_id,min_quantity,max_quantity,tier_price,created_at,updated_at
,1,1000,10999,0.5603,"2026-04-09 20:05:00",
,1,11000,49999,0.5466,"2026-04-09 20:05:00",
,1,50000,99999,0.5328,"2026-04-09 20:05:00",
,1,100000,200000,0.5053,"2026-04-09 20:05:00",
,2,1000,10999,0.5603,"2026-04-09 20:05:00",
,2,11000,49999,0.5466,"2026-04-09 20:05:00",
,2,50000,99999,0.5328,"2026-04-09 20:05:00",
,2,100000,200000,0.5053,"2026-04-09 20:05:00",
,3,1000,10999,0.5258,"2026-04-09 20:05:00",
,3,11000,49999,0.5121,"2026-04-09 20:05:00",
,3,50000,99999,0.4983,"2026-04-09 20:05:00",
,3,100000,200000,0.4708,"2026-04-09 20:05:00",
,4,1000,10999,0.5412,"2026-04-09 20:05:00",
,4,11000,49999,0.5274,"2026-04-09 20:05:00",
,4,50000,99999,0.5137,"2026-04-09 20:05:00",
,4,100000,200000,0.4861,"2026-04-09 20:05:00",
,5,1000,10999,0.5521,"2026-04-09 20:05:00",
,5,11000,49999,0.5384,"2026-04-09 20:05:00",
,5,50000,99999,0.5246,"2026-04-09 20:05:00",
,5,100000,200000,0.4971,"2026-04-09 20:05:00",
,6,1000,10999,0.5385,"2026-04-09 20:05:00",
,6,11000,49999,0.5245,"2026-04-09 20:05:00",
,6,50000,99999,0.5106,"2026-04-09 20:05:00",
,6,100000,200000,0.4823,"2026-04-09 20:05:00",
,7,1000,10999,0.5388,"2026-04-09 20:05:00",
,7,11000,49999,0.5247,"2026-04-09 20:05:00",
,7,50000,99999,0.5106,"2026-04-09 20:05:00",
,7,100000,200000,0.4823,"2026-04-09 20:05:00",
,8,1000,10999,0.1499,"2026-04-09 20:05:00",
,8,11000,49999,0.1386,"2026-04-09 20:05:00",
,8,50000,99999,0.1273,"2026-04-09 20:05:00",
,8,100000,200000,0.1131,"2026-04-09 20:05:00",
,10,1000,10999,0.1344,"2026-04-09 20:05:00",
,10,11000,49999,0.1309,"2026-04-09 20:05:00",
,10,50000,99999,0.1275,"2026-04-09 20:05:00",
,10,100000,200000,0.1206,"2026-04-09 20:05:00",
,11,1000,10999,0.1261,"2026-04-09 20:05:00",
,11,11000,49999,0.1233,"2026-04-09 20:05:00",
,11,50000,99999,0.1206,"2026-04-09 20:05:00",
,11,100000,200000,0.1137,"2026-04-09 20:05:00",
,12,1000,10999,0.1467,"2026-04-09 20:05:00",
,12,11000,49999,0.1405,"2026-04-09 20:05:00",
,12,50000,99999,0.1344,"2026-04-09 20:05:00",
,12,100000,200000,0.1275,"2026-04-09 20:05:00",
,13,1000,10999,0.1646,"2026-04-09 20:05:00",
,13,11000,49999,0.1605,"2026-04-09 20:05:00",
,13,50000,99999,0.1564,"2026-04-09 20:05:00",
,13,100000,200000,0.1509,"2026-04-09 20:05:00",
,14,1000,10999,0.0765,"2026-04-09 20:05:00",
,14,11000,49999,0.0710,"2026-04-09 20:05:00",
,14,50000,99999,0.0655,"2026-04-09 20:05:00",
,14,100000,200000,0.0573,"2026-04-09 20:05:00",
,16,1000,10999,0.0697,"2026-04-09 20:05:00",
,16,11000,49999,0.0658,"2026-04-09 20:05:00",
,16,50000,99999,0.0619,"2026-04-09 20:05:00",
,16,100000,200000,0.0564,"2026-04-09 20:05:00",
,17,1000,10999,0.0619,"2026-04-09 20:05:00",
,17,11000,49999,0.0585,"2026-04-09 20:05:00",
,17,50000,99999,0.0551,"2026-04-09 20:05:00",
,17,100000,200000,0.0482,"2026-04-09 20:05:00",
,18,1000,10999,0.0986,"2026-04-09 20:05:00",
,18,11000,49999,0.0958,"2026-04-09 20:05:00",
,18,50000,99999,0.0931,"2026-04-09 20:05:00",
,18,100000,200000,0.0848,"2026-04-09 20:05:00",
,19,1000,10999,0.2004,"2026-04-09 20:05:00",
,19,11000,49999,0.1935,"2026-04-09 20:05:00",
,19,50000,99999,0.1867,"2026-04-09 20:05:00",
,19,100000,200000,0.1729,"2026-04-09 20:05:00",
,20,1000,10999,0.1377,"2026-04-09 20:05:00",
,20,11000,49999,0.1308,"2026-04-09 20:05:00",
,20,50000,99999,0.1239,"2026-04-09 20:05:00",
,20,100000,200000,0.1101,"2026-04-09 20:05:00",
,21,1000,10999,0.1894,"2026-04-09 20:05:00",
,21,11000,49999,0.1825,"2026-04-09 20:05:00",
,21,50000,99999,0.1756,"2026-04-09 20:05:00",
,21,100000,200000,0.1619,"2026-04-09 20:05:00",
,22,1000,10999,0.1466,"2026-04-09 20:05:00",
,22,11000,49999,0.1402,"2026-04-09 20:05:00",
,22,50000,99999,0.1337,"2026-04-09 20:05:00",
,22,100000,200000,0.1236,"2026-04-09 20:05:00",
,24,1000,10999,0.5506,"2026-04-09 20:05:00",
,24,11000,49999,0.4818,"2026-04-09 20:05:00",
,24,50000,99999,0.4130,"2026-04-09 20:05:00",
,24,100000,200000,0.2753,"2026-04-09 20:05:00",
,25,1000,10999,0.1880,"2026-04-09 20:05:00",
,25,11000,49999,0.1846,"2026-04-09 20:05:00",
,25,50000,99999,0.1812,"2026-04-09 20:05:00",
,25,100000,200000,0.1743,"2026-04-09 20:05:00",
,26,1000,10999,0.1567,"2026-04-09 20:05:00",
,26,11000,49999,0.1457,"2026-04-09 20:05:00",
,26,50000,99999,0.1346,"2026-04-09 20:05:00",
,26,100000,200000,0.1209,"2026-04-09 20:05:00",
,28,1000,10999,0.1854,"2026-04-09 20:05:00",
,28,11000,49999,0.1785,"2026-04-09 20:05:00",
,28,50000,99999,0.1716,"2026-04-09 20:05:00",
,28,100000,200000,0.1578,"2026-04-09 20:05:00",
,30,1000,10999,0.1842,"2026-04-09 20:05:00",
,30,11000,49999,0.1771,"2026-04-09 20:05:00",
,30,50000,99999,0.1700,"2026-04-09 20:05:00",
,30,100000,200000,0.1559,"2026-04-09 20:05:00",
,32,1000,10999,0.1977,"2026-04-09 20:05:00",
,32,11000,49999,0.1909,"2026-04-09 20:05:00",
,32,50000,99999,0.1840,"2026-04-09 20:05:00",
,32,100000,200000,0.1702,"2026-04-09 20:05:00",
,34,1000,10999,0.1377,"2026-04-09 20:05:00",
,34,11000,49999,0.1319,"2026-04-09 20:05:00",
,34,50000,99999,0.1261,"2026-04-09 20:05:00",
,34,100000,200000,0.1123,"2026-04-09 20:05:00",
,35,1000,10999,0.1977,"2026-04-09 20:05:00",
,35,11000,49999,0.1909,"2026-04-09 20:05:00",
,35,50000,99999,0.1840,"2026-04-09 20:05:00",
,35,100000,200000,0.1702,"2026-04-09 20:05:00",
,37,1000,10999,0.1854,"2026-04-09 20:05:00",
,37,11000,49999,0.1785,"2026-04-09 20:05:00",
,37,50000,99999,0.1716,"2026-04-09 20:05:00",
,37,100000,200000,0.1578,"2026-04-09 20:05:00",
,38,1000,10999,0.1854,"2026-04-09 20:05:00",
,38,11000,49999,0.1785,"2026-04-09 20:05:00",
,38,50000,99999,0.1716,"2026-04-09 20:05:00",
,38,100000,200000,0.1578,"2026-04-09 20:05:00",
,39,1000,10999,0.1977,"2026-04-09 20:05:00",
,39,11000,49999,0.1909,"2026-04-09 20:05:00",
,39,50000,99999,0.1840,"2026-04-09 20:05:00",
,39,100000,200000,0.1702,"2026-04-09 20:05:00",
,40,1000,10999,0.1860,"2026-04-09 20:05:00",
,40,11000,49999,0.1791,"2026-04-09 20:05:00",
,40,50000,99999,0.1722,"2026-04-09 20:05:00",
,40,100000,200000,0.1585,"2026-04-09 20:05:00",
,41,1000,10999,0.1704,"2026-04-09 20:05:00",
,41,11000,49999,0.1635,"2026-04-09 20:05:00",
,41,50000,99999,0.1567,"2026-04-09 20:05:00",
,41,100000,200000,0.1429,"2026-04-09 20:05:00",
,42,1000,10999,0.1966,"2026-04-09 20:05:00",
,42,11000,49999,0.1896,"2026-04-09 20:05:00",
,42,50000,99999,0.1826,"2026-04-09 20:05:00",
,42,100000,200000,0.1685,"2026-04-09 20:05:00",
,43,1000,10999,0.1894,"2026-04-09 20:05:00",
,43,11000,49999,0.1825,"2026-04-09 20:05:00",
,43,50000,99999,0.1756,"2026-04-09 20:05:00",
,43,100000,200000,0.1619,"2026-04-09 20:05:00",
,44,1000,10999,0.2019,"2026-04-09 20:05:00",
,44,11000,49999,0.1950,"2026-04-09 20:05:00",
,44,50000,99999,0.1881,"2026-04-09 20:05:00",
,44,100000,200000,0.1743,"2026-04-09 20:05:00",
,45,1000,10999,0.1778,"2026-04-09 20:05:00",
,45,11000,49999,0.1709,"2026-04-09 20:05:00",
,45,50000,99999,0.1641,"2026-04-09 20:05:00",
,45,100000,200000,0.1503,"2026-04-09 20:05:00",
,46,1000,10999,0.1792,"2026-04-09 20:05:00",
,46,11000,49999,0.1720,"2026-04-09 20:05:00",
,46,50000,99999,0.1647,"2026-04-09 20:05:00",
,46,100000,200000,0.1506,"2026-04-09 20:05:00",
,47,1000,10999,0.1807,"2026-04-09 20:05:00",
,47,11000,49999,0.1738,"2026-04-09 20:05:00",
,47,50000,99999,0.1670,"2026-04-09 20:05:00",
