part_number,work_table_id,semi_auto_work_table_id,machine_id,units_per_hour,persons_1,persons_2,persons_3,active,is_migrated,description
189-10004,,,,53,,2,,1,0,STS H-CL-181-1222-90/9
189-10005,,,,53,,,3,1,0,STS H-CL-181-1224-90/9
189-10006,,,,53,,,3,1,0,STS H-CL-181-1226-90/9
189-10009,,,,53,,,3,1,0,STS H-CL-181-2222-90/9
189-10010,,,,53,,,3,1,0,STS H-CL-181-2222-90/9-10
189-10011,,,,53,,,3,1,0,STS H-CL-181-3222-0/9
189-10012,,,,104,,,3,1,0,STS H-CL-181-3222-90/9
189-10044,,,,375,1,,,1,0,STS H-C-1
189-10044,,,,215,,2,,1,0,STS H-C-1
189-10044,,,,189,,,3,1,0,STS H-C-1
189-10046,,,,0,,,,1,0,STS H-C110-35
189-10048,,,,0,,,,1,0,STS H-C-110-41
189-10049,,,,307,1,,,1,0,STS H-C-112
189-10049,,,,269,,2,,1,0,STS H-C-112
189-10050,,,,0,,,,1,0,STS H-C-113
189-10054,,,,0,,,,1,0,STS H-C-145-1B
189-10056,,,,226,1,,,1,0,STS H-C-2
189-10056,,,,214,,2,,1,0,STS H-C-2
189-10056,,,,173,,,3,1,0,STS H-C-2
189-10057,,,,237,,2,,1,0,STS H-C-249-1
189-10058,,,,237,,2,,1,0,STS H-C-249-1BP
189-10059,,,,237,,2,,1,0,STS H-C-249-2
189-10061,,,,237,,2,,1,0,STS H-C-249-50-2
189-10062,,,,237,,2,,1,0,STS H-C-249-50-3
189-10063,,,,237,,2,,1,0,STS H-C-249-8
189-10064,,,,229,1,,,1,0,STS H-C-3
189-10064,,,,228,,2,,1,0,STS H-C-3
189-10064,,,,177,,,3,1,0,STS H-C-3
189-10067,,,,0,,,,1,0,STS H-C-3-03
189-10068,,,,300,,2,,1,0,STS H-C-3-2
189-10069,,,,192,1,,,1,0,STS H-C-4
189-10069,,,,183,,2,,1,0,STS H-C-4
189-10071,,,,375,1,,,1,0,STS H-C4-1
189-10071,,,,183,,2,,1,0,STS H-C4-1
189-10072,,,,385,1,,,1,0,STS H-C4-2
189-10072,,,,200,,2,,1,0,STS H-C4-2
189-10072,,,,184,,,3,1,0,STS H-C4-2
189-10073,,,,375,1,,,1,0,STS H-C4-3
189-10073,,,,208,,2,,1,0,STS H-C4-3
189-10073,,,,197,,,3,1,0,STS H-C4-3
189-10074,,,,197,,2,,1,0,STS H-C4-3-01
189-10076,,,,375,1,,,1,0,STS H-C4-4
189-10076,,,,202,,2,,1,0,STS H-C4-4
189-10076,,,,168,,,3,1,0,STS H-C4-4
189-10078,,,,196,,2,,1,0,STS H-C4-5
189-10079,,,,199,1,,,1,0,STS H-C4-6
189-10079,,,,199,,2,,1,0,STS H-C4-6
189-10080,,,,200,,2,,1,0,STS H-C4-7
189-10081,,,,208,,2,,1,0,STS H-C4-8
189-10082,,,,203,,2,,1,0,STS H-C-5
189-10082,,,,187,,,3,1,0,STS H-C-5
189-10083,,,,188,1,,,1,0,STS H-C5-20
189-10083,,,,181,,2,,1,0,STS H-C5-20
189-10084,,,,181,,2,,1,0,STS H-C5-21
189-10085,,,,105,1,,,1,0,STS H-C5-22
189-10085,,,,125,,2,,1,0,STS H-C5-22
189-10086,,,,204,,2,,1,0,STS H-C5-5
189-10087,,,,208,,2,,1,0,STS H-C5-6
189-10088,,,,228,,2,,1,0,STS H-C5-7
189-10089,,,,186,1,,,1,0,STS H-C5-8
189-10089,,,,204,,2,,1,0,STS H-C5-8
189-10090,,,,142,,2,,1,0,STS H-C-6
189-10091,,,,0,,,,1,0,STS H-C-607-10
189-10092,,,,145,1,,,1,0,STS H-C-7
189-10092,,,,133,,2,,1,0,STS H-C-7
189-10092,,,,124,,,3,1,0,STS H-C-7
189-10120,,,,0,,,,1,0,STS H-CL4-4-1
189-10129,,,,0,,,,1,0,STS H-CL-6-11-3
189-10130,,,,0,,,,1,0,STS H-CL-6-11-4
189-10136,,,,0,,,,1,0,STS H-CL-8-03
189-10138,,,,174,1,,,1,0,STS H-HC-1
189-10138,,,,174,,2,,1,0,STS H-HC-1
189-10139,,,,245,,2,,1,0,STS H-HC-2
189-10139,,,,245,,2,,1,0,STS H-HC-2
189-10140,,,,228,,2,,1,0,STS H-HC-3
189-10141,,,,224,,2,,1,0,STS H-HC-4
189-10142,,,,225,1,,,1,0,STS H-HC-5
189-10142,,,,166,,2,,1,0,STS H-HC-5
189-10143,,,,189,1,,,1,0,STS H-I-1
189-10143,,,,233,,2,,1,0,STS H-I-1
189-10144,,,,173,1,,,1,0,STS H-I-2
