id,part_id,work_table_id,semi_auto_work_table_id,machine_id,units_per_hour,persons_1,persons_2,persons_3,active,is_migrated,description,deleted_at,created_at,updated_at
1,NULL,NULL,NULL,53,NULL,NULL,2,NULL,1,0,STS H-CL-181-1222-90/9,NULL,"2026-04-09 20:05:00",NULL
2,NULL,NULL,NULL,53,NULL,NULL,NULL,3,1,0,STS H-CL-181-1224-90/9,NULL,"2026-04-09 20:05:00",NULL
3,NULL,NULL,NULL,53,NULL,NULL,NULL,3,1,0,STS H-CL-181-1226-90/9,NULL,"2026-04-09 20:05:00",NULL
4,NULL,NULL,NULL,53,NULL,NULL,NULL,3,1,0,STS H-CL-181-2222-90/9,NULL,"2026-04-09 20:05:00",NULL
5,NULL,NULL,NULL,53,NULL,NULL,NULL,3,1,0,STS H-CL-181-2222-90/9-10,NULL,"2026-04-09 20:05:00",NULL
6,NULL,NULL,NULL,53,NULL,NULL,NULL,3,1,0,STS H-CL-181-3222-0/9,NULL,"2026-04-09 20:05:00",NULL
7,NULL,NULL,NULL,104,NULL,NULL,NULL,3,1,0,STS H-CL-181-3222-90/9,NULL,"2026-04-09 20:05:00",NULL
8,NULL,NULL,NULL,375,NULL,1,NULL,NULL,1,0,STS H-C-1,NULL,"2026-04-09 20:05:00",NULL
9,NULL,NULL,NULL,215,NULL,NULL,2,NULL,1,0,STS H-C-1,NULL,"2026-04-09 20:05:00",NULL
10,NULL,NULL,NULL,189,NULL,NULL,NULL,3,1,0,STS H-C-1,NULL,"2026-04-09 20:05:00",NULL
11,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS H-C110-35,NULL,"2026-04-09 20:05:00",NULL
12,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS H-C-110-41,NULL,"2026-04-09 20:05:00",NULL
13,NULL,NULL,NULL,307,NULL,1,NULL,NULL,1,0,STS H-C-112,NULL,"2026-04-09 20:05:00",NULL
14,NULL,NULL,NULL,269,NULL,NULL,2,NULL,1,0,STS H-C-112,NULL,"2026-04-09 20:05:00",NULL
15,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS H-C-113,NULL,"2026-04-09 20:05:00",NULL
16,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS H-C-145-1B,NULL,"2026-04-09 20:05:00",NULL
17,NULL,NULL,NULL,226,NULL,1,NULL,NULL,1,0,STS H-C-2,NULL,"2026-04-09 20:05:00",NULL
18,NULL,NULL,NULL,214,NULL,NULL,2,NULL,1,0,STS H-C-2,NULL,"2026-04-09 20:05:00",NULL
19,NULL,NULL,NULL,173,NULL,NULL,NULL,3,1,0,STS H-C-2,NULL,"2026-04-09 20:05:00",NULL
20,NULL,NULL,NULL,237,NULL,NULL,2,NULL,1,0,STS H-C-249-1,NULL,"2026-04-09 20:05:00",NULL
21,NULL,NULL,NULL,237,NULL,NULL,2,NULL,1,0,STS H-C-249-1BP,NULL,"2026-04-09 20:05:00",NULL
22,NULL,NULL,NULL,237,NULL,NULL,2,NULL,1,0,STS H-C-249-2,NULL,"2026-04-09 20:05:00",NULL
23,NULL,NULL,NULL,237,NULL,NULL,2,NULL,1,0,STS H-C-249-50-2,NULL,"2026-04-09 20:05:00",NULL
24,NULL,NULL,NULL,237,NULL,NULL,2,NULL,1,0,STS H-C-249-50-3,NULL,"2026-04-09 20:05:00",NULL
25,NULL,NULL,NULL,237,NULL,NULL,2,NULL,1,0,STS H-C-249-8,NULL,"2026-04-09 20:05:00",NULL
26,NULL,NULL,NULL,229,NULL,1,NULL,NULL,1,0,STS H-C-3,NULL,"2026-04-09 20:05:00",NULL
27,NULL,NULL,NULL,228,NULL,NULL,2,NULL,1,0,STS H-C-3,NULL,"2026-04-09 20:05:00",NULL
28,NULL,NULL,NULL,177,NULL,NULL,NULL,3,1,0,STS H-C-3,NULL,"2026-04-09 20:05:00",NULL
29,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS H-C-3-03,NULL,"2026-04-09 20:05:00",NULL
30,NULL,NULL,NULL,300,NULL,NULL,2,NULL,1,0,STS H-C-3-2,NULL,"2026-04-09 20:05:00",NULL
31,NULL,NULL,NULL,192,NULL,1,NULL,NULL,1,0,STS H-C-4,NULL,"2026-04-09 20:05:00",NULL
32,NULL,NULL,NULL,183,NULL,NULL,2,NULL,1,0,STS H-C-4,NULL,"2026-04-09 20:05:00",NULL
33,NULL,NULL,NULL,375,NULL,1,NULL,NULL,1,0,STS H-C4-1,NULL,"2026-04-09 20:05:00",NULL
34,NULL,NULL,NULL,183,NULL,NULL,2,NULL,1,0,STS H-C4-1,NULL,"2026-04-09 20:05:00",NULL
35,NULL,NULL,NULL,385,NULL,1,NULL,NULL,1,0,STS H-C4-2,NULL,"2026-04-09 20:05:00",NULL
36,NULL,NULL,NULL,200,NULL,NULL,2,NULL,1,0,STS H-C4-2,NULL,"2026-04-09 20:05:00",NULL
37,NULL,NULL,NULL,184,NULL,NULL,NULL,3,1,0,STS H-C4-2,NULL,"2026-04-09 20:05:00",NULL
38,NULL,NULL,NULL,375,NULL,1,NULL,NULL,1,0,STS H-C4-3,NULL,"2026-04-09 20:05:00",NULL
39,NULL,NULL,NULL,208,NULL,NULL,2,NULL,1,0,STS H-C4-3,NULL,"2026-04-09 20:05:00",NULL
40,NULL,NULL,NULL,197,NULL,NULL,NULL,3,1,0,STS H-C4-3,NULL,"2026-04-09 20:05:00",NULL
41,NULL,NULL,NULL,197,NULL,NULL,2,NULL,1,0,STS H-C4-3-01,NULL,"2026-04-09 20:05:00",NULL
42,NULL,NULL,NULL,375,NULL,1,NULL,NULL,1,0,STS H-C4-4,NULL,"2026-04-09 20:05:00",NULL
43,NULL,NULL,NULL,202,NULL,NULL,2,NULL,1,0,STS H-C4-4,NULL,"2026-04-09 20:05:00",NULL
44,NULL,NULL,NULL,168,NULL,NULL,NULL,3,1,0,STS H-C4-4,NULL,"2026-04-09 20:05:00",NULL
45,NULL,NULL,NULL,196,NULL,NULL,2,NULL,1,0,STS H-C4-5,NULL,"2026-04-09 20:05:00",NULL
46,NULL,NULL,NULL,199,NULL,1,NULL,NULL,1,0,STS H-C4-6,NULL,"2026-04-09 20:05:00",NULL
47,NULL,NULL,NULL,199,NULL,NULL,2,NULL,1,0,STS H-C4-6,NULL,"2026-04-09 20:05:00",NULL
48,NULL,NULL,NULL,200,NULL,NULL,2,NULL,1,0,STS H-C4-7,NULL,"2026-04-09 20:05:00",NULL
49,NULL,NULL,NULL,208,NULL,NULL,2,NULL,1,0,STS H-C4-8,NULL,"2026-04-09 20:05:00",NULL
50,NULL,NULL,NULL,203,NULL,NULL,2,NULL,1,0,STS H-C-5,NULL,"2026-04-09 20:05:00",NULL
51,NULL,NULL,NULL,187,NULL,NULL,NULL,3,1,0,STS H-C-5,NULL,"2026-04-09 20:05:00",NULL
52,NULL,NULL,NULL,188,NULL,1,NULL,NULL,1,0,STS H-C5-20,NULL,"2026-04-09 20:05:00",NULL
53,NULL,NULL,NULL,181,NULL,NULL,2,NULL,1,0,STS H-C5-20,NULL,"2026-04-09 20:05:00",NULL
54,NULL,NULL,NULL,181,NULL,NULL,2,NULL,1,0,STS H-C5-21,NULL,"2026-04-09 20:05:00",NULL
55,NULL,NULL,NULL,105,NULL,1,NULL,NULL,1,0,STS H-C5-22,NULL,"2026-04-09 20:05:00",NULL
56,NULL,NULL,NULL,125,NULL,NULL,2,NULL,1,0,STS H-C5-22,NULL,"2026-04-09 20:05:00",NULL
57,NULL,NULL,NULL,204,NULL,NULL,2,NULL,1,0,STS H-C5-5,NULL,"2026-04-09 20:05:00",NULL
58,NULL,NULL,NULL,208,NULL,NULL,2,NULL,1,0,STS H-C5-6,NULL,"2026-04-09 20:05:00",NULL
59,NULL,NULL,NULL,228,NULL,NULL,2,NULL,1,0,STS H-C5-7,NULL,"2026-04-09 20:05:00",NULL
60,NULL,NULL,NULL,186,NULL,1,NULL,NULL,1,0,STS H-C5-8,NULL,"2026-04-09 20:05:00",NULL
61,NULL,NULL,NULL,204,NULL,NULL,2,NULL,1,0,STS H-C5-8,NULL,"2026-04-09 20:05:00",NULL
62,NULL,NULL,NULL,142,NULL,NULL,2,NULL,1,0,STS H-C-6,NULL,"2026-04-09 20:05:00",NULL
63,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS H-C-607-10,NULL,"2026-04-09 20:05:00",NULL
64,NULL,NULL,NULL,145,NULL,1,NULL,NULL,1,0,STS H-C-7,NULL,"2026-04-09 20:05:00",NULL
65,NULL,NULL,NULL,133,NULL,NULL,2,NULL,1,0,STS H-C-7,NULL,"2026-04-09 20:05:00",NULL
66,NULL,NULL,NULL,124,NULL,NULL,NULL,3,1,0,STS H-C-7,NULL,"2026-04-09 20:05:00",NULL
67,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS H-CL4-4-1,NULL,"2026-04-09 20:05:00",NULL
68,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS H-CL-6-11-3,NULL,"2026-04-09 20:05:00",NULL
69,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS H-CL-6-11-4,NULL,"2026-04-09 20:05:00",NULL
70,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS H-CL-8-03,NULL,"2026-04-09 20:05:00",NULL
71,NULL,NULL,NULL,174,NULL,1,NULL,NULL,1,0,STS H-HC-1,NULL,"2026-04-09 20:05:00",NULL
72,NULL,NULL,NULL,174,NULL,NULL,2,NULL,1,0,STS H-HC-1,NULL,"2026-04-09 20:05:00",NULL
73,NULL,NULL,NULL,245,NULL,NULL,2,NULL,1,0,STS H-HC-2,NULL,"2026-04-09 20:05:00",NULL
74,NULL,NULL,NULL,245,NULL,NULL,2,NULL,1,0,STS H-HC-2,NULL,"2026-04-09 20:05:00",NULL
75,NULL,NULL,NULL,228,NULL,NULL,2,NULL,1,0,STS H-HC-3,NULL,"2026-04-09 20:05:00",NULL
76,NULL,NULL,NULL,224,NULL,NULL,2,NULL,1,0,STS H-HC-4,NULL,"2026-04-09 20:05:00",NULL
77,NULL,NULL,NULL,225,NULL,1,NULL,NULL,1,0,STS H-HC-5,NULL,"2026-04-09 20:05:00",NULL
78,NULL,NULL,NULL,166,NULL,NULL,2,NULL,1,0,STS H-HC-5,NULL,"2026-04-09 20:05:00",NULL
79,NULL,NULL,NULL,189,NULL,1,NULL,NULL,1,0,STS H-I-1,NULL,"2026-04-09 20:05:00",NULL
80,NULL,NULL,NULL,233,NULL,NULL,2,NULL,1,0,STS H-I-1,NULL,"2026-04-09 20:05:00",NULL
81,NULL,NULL,NULL,173,NULL,1,NULL,NULL,1,0,STS H-I-2,NULL,"2026-04-09 20:05:00",NULL
82,NULL,NULL,NULL,151,NULL,NULL,2,NULL,1,0,STS H-I-2,NULL,"2026-04-09 20:05:00",NULL
83,NULL,NULL,NULL,185,NULL,NULL,2,NULL,1,0,STS H-I-3,NULL,"2026-04-09 20:05:00",NULL
84,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS H-I-4,NULL,"2026-04-09 20:05:00",NULL
85,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS H-I-5,NULL,"2026-04-09 20:05:00",NULL
86,NULL,NULL,NULL,123,NULL,NULL,NULL,3,1,0,STS H-IB-250-B5B,NULL,"2026-04-09 20:05:00",NULL
87,NULL,NULL,NULL,123,NULL,NULL,NULL,3,1,0,STS H-IB-350-B6B,NULL,"2026-04-09 20:05:00",NULL
88,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS H-ID-41,NULL,"2026-04-09 20:05:00",NULL
89,NULL,NULL,NULL,102,NULL,NULL,2,NULL,1,0,STS H-ID-43,NULL,"2026-04-09 20:05:00",NULL
90,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS H-ID-47,NULL,"2026-04-09 20:05:00",NULL
91,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS H-ID-48,NULL,"2026-04-09 20:05:00",NULL
