id,part_id,units_per_hour,work_table_id,semi_auto_work_table_id,machine_id,persons_1,persons_2,persons_3,active,is_migrated,description,deleted_at,created_at,updated_at
,1,53,,,,,2,,1,0,"STS H-CL-181-1222-90/9",,"2026-04-09 20:05:00",
,2,53,,,,,,3,1,0,"STS H-CL-181-1224-90/9",,"2026-04-09 20:05:00",
,3,53,,,,,,3,1,0,"STS H-CL-181-1226-90/9",,"2026-04-09 20:05:00",
,4,53,,,,,,3,1,0,"STS H-CL-181-2222-90/9",,"2026-04-09 20:05:00",
,5,53,,,,,,3,1,0,"STS H-CL-181-2222-90/9-10",,"2026-04-09 20:05:00",
,6,53,,,,,,3,1,0,"STS H-CL-181-3222-0/9",,"2026-04-09 20:05:00",
,7,104,,,,,,3,1,0,"STS H-CL-181-3222-90/9",,"2026-04-09 20:05:00",
,8,375,,,,1,,,1,0,"STS H-C-1",,"2026-04-09 20:05:00",
,8,215,,,,,2,,1,0,"STS H-C-1",,"2026-04-09 20:05:00",
,8,189,,,,,,3,1,0,"STS H-C-1",,"2026-04-09 20:05:00",
,9,0,,,,,,,1,0,"STS H-C110-35",,"2026-04-09 20:05:00",
,10,0,,,,,,,1,0,"STS H-C-110-41",,"2026-04-09 20:05:00",
,11,307,,,,1,,,1,0,"STS H-C-112",,"2026-04-09 20:05:00",
,11,269,,,,,2,,1,0,"STS H-C-112",,"2026-04-09 20:05:00",
,12,0,,,,,,,1,0,"STS H-C-113",,"2026-04-09 20:05:00",
,13,0,,,,,,,1,0,"STS H-C-145-1B",,"2026-04-09 20:05:00",
,14,226,,,,1,,,1,0,"STS H-C-2",,"2026-04-09 20:05:00",
,14,214,,,,,2,,1,0,"STS H-C-2",,"2026-04-09 20:05:00",
,14,173,,,,,,3,1,0,"STS H-C-2",,"2026-04-09 20:05:00",
,15,237,,,,,2,,1,0,"STS H-C-249-1",,"2026-04-09 20:05:00",
,16,237,,,,,2,,1,0,"STS H-C-249-1BP",,"2026-04-09 20:05:00",
,17,237,,,,,2,,1,0,"STS H-C-249-2",,"2026-04-09 20:05:00",
,18,237,,,,,2,,1,0,"STS H-C-249-50-2",,"2026-04-09 20:05:00",
,19,237,,,,,2,,1,0,"STS H-C-249-50-3",,"2026-04-09 20:05:00",
,20,237,,,,,2,,1,0,"STS H-C-249-8",,"2026-04-09 20:05:00",
