id,part_id,units_per_hour,work_table_id,semi_auto_work_table_id,machine_id,persons_1,persons_2,persons_3,active,is_migrated,description,deleted_at,created_at,updated_at
\N,1,53,\N,\N,\N,\N,2,\N,1,0,"STS H-CL-181-1222-90/9",\N,"2026-04-09 20:05:00",\N
\N,2,53,\N,\N,\N,\N,\N,3,1,0,"STS H-CL-181-1224-90/9",\N,"2026-04-09 20:05:00",\N
\N,3,53,\N,\N,\N,\N,\N,3,1,0,"STS H-CL-181-1226-90/9",\N,"2026-04-09 20:05:00",\N
\N,4,53,\N,\N,\N,\N,\N,3,1,0,"STS H-CL-181-2222-90/9",\N,"2026-04-09 20:05:00",\N
\N,5,53,\N,\N,\N,\N,\N,3,1,0,"STS H-CL-181-2222-90/9-10",\N,"2026-04-09 20:05:00",\N
\N,6,53,\N,\N,\N,\N,\N,3,1,0,"STS H-CL-181-3222-0/9",\N,"2026-04-09 20:05:00",\N
\N,7,104,\N,\N,\N,\N,\N,3,1,0,"STS H-CL-181-3222-90/9",\N,"2026-04-09 20:05:00",\N
\N,8,375,\N,\N,\N,1,\N,\N,1,0,"STS H-C-1",\N,"2026-04-09 20:05:00",\N
\N,8,215,\N,\N,\N,\N,2,\N,1,0,"STS H-C-1",\N,"2026-04-09 20:05:00",\N
\N,8,189,\N,\N,\N,\N,\N,3,1,0,"STS H-C-1",\N,"2026-04-09 20:05:00",\N
\N,9,0,\N,\N,\N,\N,\N,\N,1,0,"STS H-C110-35",\N,"2026-04-09 20:05:00",\N
\N,10,0,\N,\N,\N,\N,\N,\N,1,0,"STS H-C-110-41",\N,"2026-04-09 20:05:00",\N
\N,11,307,\N,\N,\N,1,\N,\N,1,0,"STS H-C-112",\N,"2026-04-09 20:05:00",\N
\N,11,269,\N,\N,\N,\N,2,\N,1,0,"STS H-C-112",\N,"2026-04-09 20:05:00",\N
\N,12,0,\N,\N,\N,\N,\N,\N,1,0,"STS H-C-113",\N,"2026-04-09 20:05:00",\N
\N,13,0,\N,\N,\N,\N,\N,\N,1,0,"STS H-C-145-1B",\N,"2026-04-09 20:05:00",\N
\N,14,226,\N,\N,\N,1,\N,\N,1,0,"STS H-C-2",\N,"2026-04-09 20:05:00",\N
\N,14,214,\N,\N,\N,\N,2,\N,1,0,"STS H-C-2",\N,"2026-04-09 20:05:00",\N
\N,14,173,\N,\N,\N,\N,\N,3,1,0,"STS H-C-2",\N,"2026-04-09 20:05:00",\N
\N,15,237,\N,\N,\N,\N,2,\N,1,0,"STS H-C-249-1",\N,"2026-04-09 20:05:00",\N
\N,16,237,\N,\N,\N,\N,2,\N,1,0,"STS H-C-249-1BP",\N,"2026-04-09 20:05:00",\N
\N,17,237,\N,\N,\N,\N,2,\N,1,0,"STS H-C-249-2",\N,"2026-04-09 20:05:00",\N
\N,18,237,\N,\N,\N,\N,2,\N,1,0,"STS H-C-249-50-2",\N,"2026-04-09 20:05:00",\N
\N,19,237,\N,\N,\N,\N,2,\N,1,0,"STS H-C-249-50-3",\N,"2026-04-09 20:05:00",\N
\N,20,237,\N,\N,\N,\N,2,\N,1,0,"STS H-C-249-8",\N,"2026-04-09 20:05:00",\N
\N,21,229,\N,\N,\N,1,\N,\N,1,0,"STS H-C-3",\N,"2026-04-09 20:05:00",\N
\N,21,228,\N,\N,\N,\N,2,\N,1,0,"STS H-C-3",\N,"2026-04-09 20:05:00",\N
\N,21,177,\N,\N,\N,\N,\N,3,1,0,"STS H-C-3",\N,"2026-04-09 20:05:00",\N
\N,22,0,\N,\N,\N,\N,\N,\N,1,0,"STS H-C-3-03",\N,"2026-04-09 20:05:00",\N
\N,23,300,\N,\N,\N,\N,2,\N,1,0,"STS H-C-3-2",\N,"2026-04-09 20:05:00",\N
\N,24,192,\N,\N,\N,1,\N,\N,1,0,"STS H-C-4",\N,"2026-04-09 20:05:00",\N
\N,24,183,\N,\N,\N,\N,2,\N,1,0,"STS H-C-4",\N,"2026-04-09 20:05:00",\N
\N,25,375,\N,\N,\N,1,\N,\N,1,0,"STS H-C4-1",\N,"2026-04-09 20:05:00",\N
\N,25,183,\N,\N,\N,\N,2,\N,1,0,"STS H-C4-1",\N,"2026-04-09 20:05:00",\N
\N,26,385,\N,\N,\N,1,\N,\N,1,0,"STS H-C4-2",\N,"2026-04-09 20:05:00",\N
\N,26,200,\N,\N,\N,\N,2,\N,1,0,"STS H-C4-2",\N,"2026-04-09 20:05:00",\N
\N,26,184,\N,\N,\N,\N,\N,3,1,0,"STS H-C4-2",\N,"2026-04-09 20:05:00",\N
\N,27,375,\N,\N,\N,1,\N,\N,1,0,"STS H-C4-3",\N,"2026-04-09 20:05:00",\N
\N,27,208,\N,\N,\N,\N,2,\N,1,0,"STS H-C4-3",\N,"2026-04-09 20:05:00",\N
\N,27,197,\N,\N,\N,\N,\N,3,1,0,"STS H-C4-3",\N,"2026-04-09 20:05:00",\N
\N,28,197,\N,\N,\N,\N,2,\N,1,0,"STS H-C4-3-01",\N,"2026-04-09 20:05:00",\N
\N,29,375,\N,\N,\N,1,\N,\N,1,0,"STS H-C4-4",\N,"2026-04-09 20:05:00",\N
\N,29,202,\N,\N,\N,\N,2,\N,1,0,"STS H-C4-4",\N,"2026-04-09 20:05:00",\N
\N,29,168,\N,\N,\N,\N,\N,3,1,0,"STS H-C4-4",\N,"2026-04-09 20:05:00",\N
\N,30,196,\N,\N,\N,\N,2,\N,1,0,"STS H-C4-5",\N,"2026-04-09 20:05:00",\N
\N,31,199,\N,\N,\N,1,\N,\N,1,0,"STS H-C4-6",\N,"2026-04-09 20:05:00",\N
\N,31,199,\N,\N,\N,\N,2,\N,1,0,"STS H-C4-6",\N,"2026-04-09 20:05:00",\N
\N,32,200,\N,\N,\N,\N,2,\N,1,0,"STS H-C4-7",\N,"2026-04-09 20:05:00",\N
\N,33,208,\N,\N,\N,\N,2,\N,1,0,"STS H-C4-8",\N,"2026-04-09 20:05:00",\N
\N,34,203,\N,\N,\N,\N,2,\N,1,0,"STS H-C-5",\N,"2026-04-09 20:05:00",\N
\N,34,187,\N,\N,\N,\N,\N,3,1,0,"STS H-C-5",\N,"2026-04-09 20:05:00",\N
\N,35,188,\N,\N,\N,1,\N,\N,1,0,"STS H-C5-20",\N,"2026-04-09 20:05:00",\N
\N,35,181,\N,\N,\N,\N,2,\N,1,0,"STS H-C5-20",\N,"2026-04-09 20:05:00",\N
\N,36,181,\N,\N,\N,\N,2,\N,1,0,"STS H-C5-21",\N,"2026-04-09 20:05:00",\N
\N,37,105,\N,\N,\N,1,\N,\N,1,0,"STS H-C5-22",\N,"2026-04-09 20:05:00",\N
\N,37,125,\N,\N,\N,\N,2,\N,1,0,"STS H-C5-22",\N,"2026-04-09 20:05:00",\N
\N,38,204,\N,\N,\N,\N,2,\N,1,0,"STS H-C5-5",\N,"2026-04-09 20:05:00",\N
\N,39,208,\N,\N,\N,\N,2,\N,1,0,"STS H-C5-6",\N,"2026-04-09 20:05:00",\N
\N,40,228,\N,\N,\N,\N,2,\N,1,0,"STS H-C5-7",\N,"2026-04-09 20:05:00",\N
\N,41,186,\N,\N,\N,1,\N,\N,1,0,"STS H-C5-8",\N,"2026-04-09 20:05:00",\N
\N,41,204,\N,\N,\N,\N,2,\N,1,0,"STS H-C5-8",\N,"2026-04-09 20:05:00",\N
\N,42,142,\N,\N,\N,\N,2,\N,1,0,"STS H-C-6",\N,"2026-04-09 20:05:00",\N
\N,43,0,\N,\N,\N,\N,\N,\N,1,0,"STS H-C-607-10",\N,"2026-04-09 20:05:00",\N
\N,44,145,\N,\N,\N,1,\N,\N,1,0,"STS H-C-7",\N,"2026-04-09 20:05:00",\N
\N,44,133,\N,\N,\N,\N,2,\N,1,0,"STS H-C-7",\N,"2026-04-09 20:05:00",\N
\N,44,124,\N,\N,\N,\N,\N,3,1,0,"STS H-C-7",\N,"2026-04-09 20:05:00",\N
\N,45,0,\N,\N,\N,\N,\N,\N,1,0,"STS H-CL4-4-1",\N,"2026-04-09 20:05:00",\N
\N,46,0,\N,\N,\N,\N,\N,\N,1,0,"STS H-CL-6-11-3",\N,"2026-04-09 20:05:00",\N
\N,47,0,\N,\N,\N,\N,\N,\N,1,0,"STS H-CL-6-11-4",\N,"2026-04-09 20:05:00",\N
\N,48,0,\N,\N,\N,\N,\N,\N,1,0,"STS H-CL-8-03",\N,"2026-04-09 20:05:00",\N
\N,49,174,\N,\N,\N,1,\N,\N,1,0,"STS H-HC-1",\N,"2026-04-09 20:05:00",\N
\N,49,174,\N,\N,\N,\N,2,\N,1,0,"STS H-HC-1",\N,"2026-04-09 20:05:00",\N
\N,50,245,\N,\N,\N,\N,2,\N,1,0,"STS H-HC-2",\N,"2026-04-09 20:05:00",\N
\N,50,245,\N,\N,\N,\N,2,\N,1,0,"STS H-HC-2",\N,"2026-04-09 20:05:00",\N
\N,51,228,\N,\N,\N,\N,2,\N,1,0,"STS H-HC-3",\N,"2026-04-09 20:05:00",\N
\N,52,224,\N,\N,\N,\N,2,\N,1,0,"STS H-HC-4",\N,"2026-04-09 20:05:00",\N
\N,53,225,\N,\N,\N,1,\N,\N,1,0,"STS H-HC-5",\N,"2026-04-09 20:05:00",\N
\N,53,166,\N,\N,\N,\N,2,\N,1,0,"STS H-HC-5",\N,"2026-04-09 20:05:00",\N
\N,54,189,\N,\N,\N,1,\N,\N,1,0,"STS H-I-1",\N,"2026-04-09 20:05:00",\N
\N,54,233,\N,\N,\N,\N,2,\N,1,0,"STS H-I-1",\N,"2026-04-09 20:05:00",\N
\N,55,173,\N,\N,\N,1,\N,\N,1,0,"STS H-I-2",\N,"2026-04-09 20:05:00",\N
\N,55,151,\N,\N,\N,\N,2,\N,1,0,"STS H-I-2",\N,"2026-04-09 20:05:00",\N
\N,56,185,\N,\N,\N,\N,2,\N,1,0,"STS H-I-3",\N,"2026-04-09 20:05:00",\N
\N,57,0,\N,\N,\N,\N,\N,\N,1,0,"STS H-I-4",\N,"2026-04-09 20:05:00",\N
\N,58,0,\N,\N,\N,\N,\N,\N,1,0,"STS H-I-5",\N,"2026-04-09 20:05:00",\N
\N,59,123,\N,\N,\N,\N,\N,3,1,0,"STS H-IB-250-B5B",\N,"2026-04-09 20:05:00",\N
\N,60,123,\N,\N,\N,\N,\N,3,1,0,"STS H-IB-350-B6B",\N,"2026-04-09 20:05:00",\N
\N,61,0,\N,\N,\N,\N,\N,\N,1,0,"STS H-ID-41",\N,"2026-04-09 20:05:00",\N
\N,62,102,\N,\N,\N,\N,2,\N,1,0,"STS H-ID-43",\N,"2026-04-09 20:05:00",\N
\N,63,0,\N,\N,\N,\N,\N,\N,1,0,"STS H-ID-47",\N,"2026-04-09 20:05:00",\N
\N,64,0,\N,\N,\N,\N,\N,\N,1,0,"STS H-ID-48",\N,"2026-04-09 20:05:00",\N
\N,65,0,\N,\N,\N,\N,\N,\N,1,0,"STS H-IL-250-A50",\N,"2026-04-09 20:05:00",\N
\N,66,0,\N,\N,\N,\N,\N,\N,1,0,"STS H-IL-250-A53",\N,"2026-04-09 20:05:00",\N
\N,67,0,\N,\N,\N,\N,\N,\N,1,0,"STS H-IL-250-A54",\N,"2026-04-09 20:05:00",\N
\N,68,0,\N,\N,\N,\N,\N,\N,1,0,"STS H-IL-250-C50",\N,"2026-04-09 20:05:00",\N
\N,69,104,\N,\N,\N,\N,\N,3,1,0,"STS H-IL-350-A60",\N,"2026-04-09 20:05:00",\N
\N,70,0,\N,\N,\N,\N,\N,\N,1,0,"STS H-IL-350-A61",\N,"2026-04-09 20:05:00",\N
\N,71,104,\N,\N,\N,\N,\N,3,1,0,"STS H-IL-350-A62",\N,"2026-04-09 20:05:00",\N
\N,72,0,\N,\N,\N,\N,\N,\N,1,0,"STS H-IL-350-A63",\N,"2026-04-09 20:05:00",\N
\N,73,0,\N,\N,\N,\N,\N,\N,1,0,"STS H-IL-350-A64",\N,"2026-04-09 20:05:00",\N
\N,74,0,\N,\N,\N,\N,\N,\N,1,0,"STS H-IL-350-A65",\N,"2026-04-09 20:05:00",\N
\N,75,0,\N,\N,\N,\N,\N,\N,1,0,"STS H-MB-301N-BH",\N,"2026-04-09 20:05:00",\N
\N,76,0,\N,\N,\N,\N,\N,\N,1,0,"STS H-IL-350-C60",\N,"2026-04-09 20:05:00",\N
\N,77,0,\N,\N,\N,\N,\N,\N,1,0,"STS H-IL-550-A70",\N,"2026-04-09 20:05:00",\N
\N,78,0,\N,\N,\N,\N,\N,\N,1,0,"STS H-IL-550-A71",\N,"2026-04-09 20:05:00",\N
\N,79,149,\N,\N,\N,1,\N,\N,1,0,"STS H-M-1",\N,"2026-04-09 20:05:00",\N
\N,79,149,\N,\N,\N,\N,2,\N,1,0,"STS H-M-1",\N,"2026-04-09 20:05:00",\N
\N,80,0,\N,\N,\N,\N,\N,\N,1,0,"STS H-M-1-C2",\N,"2026-04-09 20:05:00",\N
\N,81,217,\N,\N,\N,1,\N,\N,1,0,"STS H-M-2",\N,"2026-04-09 20:05:00",\N
\N,81,240,\N,\N,\N,\N,2,\N,1,0,"STS H-M-2",\N,"2026-04-09 20:05:00",\N
\N,82,194,\N,\N,\N,1,\N,\N,1,0,"STS H-M-3",\N,"2026-04-09 20:05:00",\N
\N,82,228,\N,\N,\N,\N,2,\N,1,0,"STS H-M-3",\N,"2026-04-09 20:05:00",\N
\N,83,169,\N,\N,\N,1,\N,\N,1,0,"STS H-M-4",\N,"2026-04-09 20:05:00",\N
\N,83,204,\N,\N,\N,\N,2,\N,1,0,"STS H-M-4",\N,"2026-04-09 20:05:00",\N
