part_id,item_number,part_designator,description,workstation_type,units_per_hour_1p,units_per_hour_2p,units_per_hour_3p,match_type
318,189-10530,E-C-249-8,"STS E-C-249-8",,,230,,exact
313,189-10524,E-C4-1,"STS E-C4-1",,,136,,exact
314,189-10525,E-C4-2,"STS E-C4-2",,,184,,exact
315,189-10526,E-C4-3,"STS E-C4-3",,,144,,exact
316,189-10527,E-C4-4,"STS E-C4-4",,112,115,,exact
317,189-10528,E-C4-5,"STS E-C4-5",,144,144,,exact
347,189-10559,H-BML-122-10,"STS H-BML-122-10",,,,117,exact
332,189-10544,H-BML-124-10,"STS H-BML-124-10",,,,121,exact
349,189-10561,H-BML-224-10,"STS H-BML-224-10",,,,116,exact
412,189-10628,H-BML-322-10,"STS H-BML-322-10",,,,113,exact
333,189-10545,H-BML-324-10,"STS H-BML-324-10",,,,124,exact
416,189-10632,H-BML-424-10,"STS H-BML-424-10",,,,123,exact
366,189-10578,H-BML-B124-10,"STS H-BML-B124-10",,,,127,exact
350,189-10562,H-BML-B324-10,"STS H-BML-B324-10",,,,113,exact
334,189-10546,H-BML-B424-10,"STS H-BML-B424-10",,,,93,exact
414,189-10630,H-C-075,"STS H-C-075",,,272,,exact
8,189-10044,H-C-1,"STS H-C-1",,375,215,189,exact
214,189-10379,H-C-11,"STS H-C-11",,,324,,exact
11,189-10049,H-C-112,"STS H-C-112",,307,269,,exact
14,189-10056,H-C-2,"STS H-C-2  ",,226,214,173,exact
217,189-10388,H-C-22,"STS H-C-22",,375,329,,exact
413,189-10629,H-C-2-2,"STS H-C-2-2",,396,328,,exact
15,189-10057,H-C-249-1,"STS H-C-249-1",,,237,,exact
21,189-10064,H-C-3,"STS H-C-3  ",,2500,228,177,exact
23,189-10068,H-C-3-2,"STS H-C-3-2",,,300,,exact
24,189-10069,H-C-4,"STS H-C-4",,192,183,,exact
25,189-10071,H-C4-1,"STS H-C4-1",,375,183,,exact
26,189-10072,H-C4-2,"STS H-C4-2",,385,200,184,exact
27,189-10073,H-C4-3,"STS H-C4-3",,375,208,197,exact
