id,standard_id,workstation_type,workstation_id,persons_required,units_per_hour,is_default,notes,created_at,updated_at
\N,1,"manual",\N,2,53,1,\N,"2026-04-09 20:05:00",\N
\N,2,"manual",\N,3,53,1,\N,"2026-04-09 20:05:00",\N
\N,3,"manual",\N,3,53,1,\N,"2026-04-09 20:05:00",\N
\N,4,"manual",\N,3,53,1,\N,"2026-04-09 20:05:00",\N
\N,5,"manual",\N,3,53,1,\N,"2026-04-09 20:05:00",\N
\N,6,"manual",\N,3,53,1,\N,"2026-04-09 20:05:00",\N
\N,7,"manual",\N,3,104,1,\N,"2026-04-09 20:05:00",\N
\N,8,"semi_automatic",\N,1,375,1,\N,"2026-04-09 20:05:00",\N
\N,8,"semi_automatic",\N,2,215,0,\N,"2026-04-09 20:05:00",\N
\N,8,"semi_automatic",\N,3,189,0,\N,"2026-04-09 20:05:00",\N
\N,9,"manual",\N,1,375,1,\N,"2026-04-09 20:05:00",\N
\N,9,"manual",\N,2,215,0,\N,"2026-04-09 20:05:00",\N
\N,9,"manual",\N,3,189,0,\N,"2026-04-09 20:05:00",\N
\N,12,"manual",\N,1,307,1,\N,"2026-04-09 20:05:00",\N
\N,12,"manual",\N,2,269,0,\N,"2026-04-09 20:05:00",\N
\N,15,"machine",\N,1,226,1,\N,"2026-04-09 20:05:00",\N
\N,15,"machine",\N,2,214,0,\N,"2026-04-09 20:05:00",\N
\N,15,"machine",\N,3,173,0,\N,"2026-04-09 20:05:00",\N
\N,16,"manual",\N,2,237,1,\N,"2026-04-09 20:05:00",\N
\N,17,"manual",\N,2,237,1,\N,"2026-04-09 20:05:00",\N
\N,18,"manual",\N,2,237,1,\N,"2026-04-09 20:05:00",\N
\N,19,"manual",\N,2,237,1,\N,"2026-04-09 20:05:00",\N
\N,20,"manual",\N,2,237,1,\N,"2026-04-09 20:05:00",\N
\N,21,"manual",\N,2,237,1,\N,"2026-04-09 20:05:00",\N
\N,22,"machine",\N,1,229,1,\N,"2026-04-09 20:05:00",\N
\N,22,"machine",\N,2,228,0,\N,"2026-04-09 20:05:00",\N
\N,22,"machine",\N,3,177,0,\N,"2026-04-09 20:05:00",\N
\N,23,"manual",\N,1,229,1,\N,"2026-04-09 20:05:00",\N
\N,23,"manual",\N,2,228,0,\N,"2026-04-09 20:05:00",\N
\N,23,"manual",\N,3,177,0,\N,"2026-04-09 20:05:00",\N
\N,25,"manual",\N,2,300,1,\N,"2026-04-09 20:05:00",\N
\N,26,"semi_automatic",\N,1,192,1,\N,"2026-04-09 20:05:00",\N
\N,26,"semi_automatic",\N,2,183,0,\N,"2026-04-09 20:05:00",\N
\N,27,"manual",\N,1,192,1,\N,"2026-04-09 20:05:00",\N
\N,27,"manual",\N,2,183,0,\N,"2026-04-09 20:05:00",\N
\N,28,"semi_automatic",\N,1,375,1,\N,"2026-04-09 20:05:00",\N
\N,28,"semi_automatic",\N,2,183,0,\N,"2026-04-09 20:05:00",\N
\N,29,"manual",\N,1,375,1,\N,"2026-04-09 20:05:00",\N
\N,29,"manual",\N,2,183,0,\N,"2026-04-09 20:05:00",\N
\N,30,"semi_automatic",\N,1,385,1,\N,"2026-04-09 20:05:00",\N
\N,30,"semi_automatic",\N,2,200,0,\N,"2026-04-09 20:05:00",\N
\N,30,"semi_automatic",\N,3,184,0,\N,"2026-04-09 20:05:00",\N
\N,31,"manual",\N,1,385,1,\N,"2026-04-09 20:05:00",\N
\N,31,"manual",\N,2,200,0,\N,"2026-04-09 20:05:00",\N
\N,31,"manual",\N,3,184,0,\N,"2026-04-09 20:05:00",\N
\N,32,"semi_automatic",\N,1,375,1,\N,"2026-04-09 20:05:00",\N
\N,32,"semi_automatic",\N,2,208,0,\N,"2026-04-09 20:05:00",\N
\N,32,"semi_automatic",\N,3,197,0,\N,"2026-04-09 20:05:00",\N
\N,33,"manual",\N,1,375,1,\N,"2026-04-09 20:05:00",\N
\N,33,"manual",\N,2,208,0,\N,"2026-04-09 20:05:00",\N
\N,33,"manual",\N,3,197,0,\N,"2026-04-09 20:05:00",\N
\N,34,"manual",\N,2,197,1,\N,"2026-04-09 20:05:00",\N
\N,35,"semi_automatic",\N,1,375,1,\N,"2026-04-09 20:05:00",\N
\N,35,"semi_automatic",\N,2,202,0,\N,"2026-04-09 20:05:00",\N
