"id","price_id","min_quantity","max_quantity","tier_price","created_at","updated_at"
"","1","1000","10999","56.03","2026-04-09 20:05:00",""
"","1","11000","49999","54.66","2026-04-09 20:05:00",""
"","1","50000","99999","53.28","2026-04-09 20:05:00",""
"","1","100000","200000","50.53","2026-04-09 20:05:00",""
"","2","1000","10999","56.03","2026-04-09 20:05:00",""
"","2","11000","49999","54.66","2026-04-09 20:05:00",""
"","2","50000","99999","53.28","2026-04-09 20:05:00",""
"","2","100000","200000","50.53","2026-04-09 20:05:00",""
"","3","1000","10999","52.58","2026-04-09 20:05:00",""
"","3","11000","49999","51.21","2026-04-09 20:05:00",""
"","3","50000","99999","49.83","2026-04-09 20:05:00",""
"","3","100000","200000","47.08","2026-04-09 20:05:00",""
"","4","1000","10999","54.12","2026-04-09 20:05:00",""
"","4","11000","49999","52.74","2026-04-09 20:05:00",""
"","4","50000","99999","51.37","2026-04-09 20:05:00",""
"","4","100000","200000","48.61","2026-04-09 20:05:00",""
"","5","1000","10999","55.21","2026-04-09 20:05:00",""
"","5","11000","49999","53.84","2026-04-09 20:05:00",""
"","5","50000","99999","52.46","2026-04-09 20:05:00",""
"","5","100000","200000","49.71","2026-04-09 20:05:00",""
"","6","1000","10999","53.85","2026-04-09 20:05:00",""
"","6","11000","49999","52.45","2026-04-09 20:05:00",""
"","6","50000","99999","51.06","2026-04-09 20:05:00",""
"","6","100000","200000","48.23","2026-04-09 20:05:00",""
"","7","1000","10999","53.88","2026-04-09 20:05:00",""
"","7","11000","49999","52.47","2026-04-09 20:05:00",""
"","7","50000","99999","51.06","2026-04-09 20:05:00",""
"","7","100000","200000","48.23","2026-04-09 20:05:00",""
"","8","1000","10999","14.99","2026-04-09 20:05:00",""
"","8","11000","49999","13.86","2026-04-09 20:05:00",""
"","8","50000","99999","12.73","2026-04-09 20:05:00",""
"","8","100000","200000","11.31","2026-04-09 20:05:00",""
"","8","2000","10999","14.29","2026-04-09 20:05:00",""
"","8","11000","200000","0","2026-04-09 20:05:00",""
"","9","1000","10999","13.44","2026-04-09 20:05:00",""
"","9","11000","49999","13.09","2026-04-09 20:05:00",""
"","9","50000","99999","12.75","2026-04-09 20:05:00",""
"","9","100000","200000","12.06","2026-04-09 20:05:00",""
"","10","1000","10999","12.61","2026-04-09 20:05:00",""
"","10","11000","49999","12.33","2026-04-09 20:05:00",""
"","10","50000","99999","12.06","2026-04-09 20:05:00",""
"","10","100000","200000","11.37","2026-04-09 20:05:00",""
"","11","1000","10999","14.67","2026-04-09 20:05:00",""
"","11","11000","49999","14.05","2026-04-09 20:05:00",""
"","11","50000","99999","13.44","2026-04-09 20:05:00",""
"","11","100000","200000","12.75","2026-04-09 20:05:00",""
"","12","1000","10999","16.46","2026-04-09 20:05:00",""
"","12","11000","49999","16.05","2026-04-09 20:05:00",""
"","12","50000","99999","15.64","2026-04-09 20:05:00",""
"","12","100000","200000","15.09","2026-04-09 20:05:00",""
"","13","1000","10999","7.65","2026-04-09 20:05:00",""
"","13","11000","49999","7.1","2026-04-09 20:05:00",""
"","13","50000","99999","6.55","2026-04-09 20:05:00",""
"","13","100000","200000","5.73","2026-04-09 20:05:00",""
"","14","1000","49999","0","2026-04-09 20:05:00",""
"","14","50000","200000","8.53","2026-04-09 20:05:00",""
"","15","1000","10999","6.97","2026-04-09 20:05:00",""
"","15","11000","49999","6.58","2026-04-09 20:05:00",""
"","15","50000","99999","6.19","2026-04-09 20:05:00",""
"","15","100000","200000","5.64","2026-04-09 20:05:00",""
"","16","1000","10999","6.19","2026-04-09 20:05:00",""
"","16","11000","49999","5.85","2026-04-09 20:05:00",""
"","16","50000","99999","5.51","2026-04-09 20:05:00",""
"","16","100000","200000","4.82","2026-04-09 20:05:00",""
"","17","1000","10999","9.86","2026-04-09 20:05:00",""
"","17","11000","49999","9.58","2026-04-09 20:05:00",""
"","17","50000","99999","9.31","2026-04-09 20:05:00",""
"","17","100000","200000","8.48","2026-04-09 20:05:00",""
"","18","1000","10999","20.04","2026-04-09 20:05:00",""
"","18","11000","49999","19.35","2026-04-09 20:05:00",""
"","18","50000","99999","18.67","2026-04-09 20:05:00",""
"","18","100000","200000","17.29","2026-04-09 20:05:00",""
"","19","1000","10999","13.77","2026-04-09 20:05:00",""
"","19","11000","49999","13.08","2026-04-09 20:05:00",""
"","19","50000","99999","12.39","2026-04-09 20:05:00",""
"","19","100000","200000","11.01","2026-04-09 20:05:00",""
"","20","1000","10999","18.94","2026-04-09 20:05:00",""
"","20","11000","49999","18.25","2026-04-09 20:05:00",""
"","20","50000","99999","17.56","2026-04-09 20:05:00",""
"","20","100000","200000","16.19","2026-04-09 20:05:00",""
"","21","1000","10999","14.66","2026-04-09 20:05:00",""
"","21","11000","49999","14.02","2026-04-09 20:05:00",""
"","21","50000","99999","13.37","2026-04-09 20:05:00",""
"","21","100000","200000","12.36","2026-04-09 20:05:00",""
"","21","50000","200000","9.09","2026-04-09 20:05:00",""
"","22","1000","10999","55.06","2026-04-09 20:05:00",""
"","22","11000","49999","48.18","2026-04-09 20:05:00",""
"","22","50000","99999","41.3","2026-04-09 20:05:00",""
"","22","100000","200000","27.53","2026-04-09 20:05:00",""
"","23","1000","10999","18.8","2026-04-09 20:05:00",""
"","23","11000","49999","18.46","2026-04-09 20:05:00",""
"","23","50000","99999","18.12","2026-04-09 20:05:00",""
"","23","100000","200000","17.43","2026-04-09 20:05:00",""
"","24","1000","10999","15.67","2026-04-09 20:05:00",""
"","24","11000","49999","14.57","2026-04-09 20:05:00",""
"","24","50000","99999","13.46","2026-04-09 20:05:00",""
"","24","100000","200000","12.09","2026-04-09 20:05:00",""
"","24","2000","10999","14.54","2026-04-09 20:05:00",""
"","24","11000","200000","14.4","2026-04-09 20:05:00",""
"","25","1000","10999","18.54","2026-04-09 20:05:00",""
"","25","11000","49999","17.85","2026-04-09 20:05:00",""
"","25","50000","99999","17.16","2026-04-09 20:05:00",""
"","25","100000","200000","15.78","2026-04-09 20:05:00",""
"","25","2000","10999","15.67","2026-04-09 20:05:00",""
"","25","11000","200000","15.6","2026-04-09 20:05:00",""
"","26","1000","10999","18.42","2026-04-09 20:05:00",""
"","26","11000","49999","17.71","2026-04-09 20:05:00",""
"","26","50000","99999","17","2026-04-09 20:05:00",""
"","26","100000","200000","15.59","2026-04-09 20:05:00",""
"","26","2000","10999","15.59","2026-04-09 20:05:00",""
"","26","11000","200000","15.51","2026-04-09 20:05:00",""
"","27","1000","10999","19.77","2026-04-09 20:05:00",""
"","27","11000","49999","19.09","2026-04-09 20:05:00",""
"","27","50000","99999","18.4","2026-04-09 20:05:00",""
"","27","100000","200000","17.02","2026-04-09 20:05:00",""
"","27","2000","10999","17.88","2026-04-09 20:05:00",""
"","27","11000","200000","17.79","2026-04-09 20:05:00",""
"","28","1000","10999","13.77","2026-04-09 20:05:00",""
"","28","11000","49999","13.19","2026-04-09 20:05:00",""
"","28","50000","99999","12.61","2026-04-09 20:05:00",""
"","28","100000","200000","11.23","2026-04-09 20:05:00",""
"","29","1000","10999","19.77","2026-04-09 20:05:00",""
"","29","11000","49999","19.09","2026-04-09 20:05:00",""
"","29","50000","99999","18.4","2026-04-09 20:05:00",""
"","29","100000","200000","17.02","2026-04-09 20:05:00",""
"","29","2000","10999","19.27","2026-04-09 20:05:00",""
"","29","11000","200000","19.01","2026-04-09 20:05:00",""
"","30","1000","10999","18.54","2026-04-09 20:05:00",""
"","30","11000","49999","17.85","2026-04-09 20:05:00",""
"","30","50000","99999","17.16","2026-04-09 20:05:00",""
"","30","100000","200000","15.78","2026-04-09 20:05:00",""
"","31","1000","10999","18.54","2026-04-09 20:05:00",""
"","31","11000","49999","17.85","2026-04-09 20:05:00",""
"","31","50000","99999","17.16","2026-04-09 20:05:00",""
"","31","100000","200000","15.78","2026-04-09 20:05:00",""
"","32","1000","10999","19.77","2026-04-09 20:05:00",""
"","32","11000","49999","19.09","2026-04-09 20:05:00",""
"","32","50000","99999","18.4","2026-04-09 20:05:00",""
"","32","100000","200000","17.02","2026-04-09 20:05:00",""
"","33","1000","10999","18.6","2026-04-09 20:05:00",""
"","33","11000","49999","17.91","2026-04-09 20:05:00",""
"","33","50000","99999","17.22","2026-04-09 20:05:00",""
"","33","100000","200000","15.85","2026-04-09 20:05:00",""
"","34","1000","10999","17.04","2026-04-09 20:05:00",""
"","34","11000","49999","16.35","2026-04-09 20:05:00",""
"","34","50000","99999","15.67","2026-04-09 20:05:00",""
"","34","100000","200000","14.29","2026-04-09 20:05:00",""
"","35","1000","10999","19.66","2026-04-09 20:05:00",""
"","35","11000","49999","18.96","2026-04-09 20:05:00",""
"","35","50000","99999","18.26","2026-04-09 20:05:00",""
"","35","100000","200000","16.85","2026-04-09 20:05:00",""
"","36","1000","10999","18.94","2026-04-09 20:05:00",""
"","36","11000","49999","18.25","2026-04-09 20:05:00",""
"","36","50000","99999","17.56","2026-04-09 20:05:00",""
"","36","100000","200000","16.19","2026-04-09 20:05:00",""
"","37","1000","10999","20.19","2026-04-09 20:05:00",""
"","37","11000","49999","19.5","2026-04-09 20:05:00",""
"","37","50000","99999","18.81","2026-04-09 20:05:00",""
"","37","100000","200000","17.43","2026-04-09 20:05:00",""
"","38","1000","10999","17.78","2026-04-09 20:05:00",""
"","38","11000","49999","17.09","2026-04-09 20:05:00",""
"","38","50000","99999","16.41","2026-04-09 20:05:00",""
"","38","100000","200000","15.03","2026-04-09 20:05:00",""
"","39","1000","10999","17.92","2026-04-09 20:05:00",""
"","39","11000","49999","17.2","2026-04-09 20:05:00",""
"","39","50000","99999","16.47","2026-04-09 20:05:00",""
"","39","100000","200000","15.06","2026-04-09 20:05:00",""
"","40","1000","10999","18.07","2026-04-09 20:05:00",""
"","40","11000","49999","17.38","2026-04-09 20:05:00",""
"","40","50000","99999","16.7","2026-04-09 20:05:00",""
"","40","100000","200000","15.32","2026-04-09 20:05:00",""
"","40","2000","10999","15.67","2026-04-09 20:05:00",""
"","40","11000","200000","15.6","2026-04-09 20:05:00",""
"","41","1000","10999","19.6","2026-04-09 20:05:00",""
"","41","11000","49999","18.89","2026-04-09 20:05:00",""
"","41","50000","99999","18.17","2026-04-09 20:05:00",""
"","41","100000","200000","16.74","2026-04-09 20:05:00",""
"","42","1000","10999","21.43","2026-04-09 20:05:00",""
"","42","11000","49999","20.75","2026-04-09 20:05:00",""
"","42","50000","99999","20.06","2026-04-09 20:05:00",""
"","42","100000","200000","18.68","2026-04-09 20:05:00",""
"","42","2000","10999","20.73","2026-04-09 20:05:00",""
"","42","11000","200000","20.07","2026-04-09 20:05:00",""
"","43","1000","10999","18.24","2026-04-09 20:05:00",""
"","43","11000","49999","17.55","2026-04-09 20:05:00",""
"","43","50000","99999","16.86","2026-04-09 20:05:00",""
"","43","100000","200000","15.49","2026-04-09 20:05:00",""
"","44","1000","10999","21.43","2026-04-09 20:05:00",""
"","44","11000","49999","20.75","2026-04-09 20:05:00",""
"","44","50000","99999","20.06","2026-04-09 20:05:00",""
"","44","100000","200000","18.68","2026-04-09 20:05:00",""
"","44","2000","10999","20.99","2026-04-09 20:05:00",""
"","44","11000","200000","20.73","2026-04-09 20:05:00",""
"","45","1000","10999","22.52","2026-04-09 20:05:00",""
"","45","11000","49999","21.83","2026-04-09 20:05:00",""
"","45","50000","99999","21.14","2026-04-09 20:05:00",""
"","45","100000","200000","19.77","2026-04-09 20:05:00",""
"","46","1000","10999","21.14","2026-04-09 20:05:00",""
"","46","11000","49999","20.46","2026-04-09 20:05:00",""
"","46","50000","99999","19.77","2026-04-09 20:05:00",""
"","46","100000","200000","18.39","2026-04-09 20:05:00",""
"","47","1000","10999","21.14","2026-04-09 20:05:00",""
"","47","11000","49999","20.46","2026-04-09 20:05:00",""
"","47","50000","99999","19.77","2026-04-09 20:05:00",""
"","47","100000","200000","18.39","2026-04-09 20:05:00",""
"","48","1000","10999","17.21","2026-04-09 20:05:00",""
"","48","11000","49999","16.52","2026-04-09 20:05:00",""
"","48","50000","99999","15.83","2026-04-09 20:05:00",""
"","48","100000","200000","14.45","2026-04-09 20:05:00",""
"","49","1000","10999","15.71","2026-04-09 20:05:00",""
"","49","11000","49999","14.61","2026-04-09 20:05:00",""
"","49","50000","99999","13.51","2026-04-09 20:05:00",""
"","49","100000","200000","12.13","2026-04-09 20:05:00",""
"","50","1000","10999","15.77","2026-04-09 20:05:00",""
"","50","11000","49999","15.42","2026-04-09 20:05:00",""
"","50","50000","99999","15.08","2026-04-09 20:05:00",""
"","50","100000","200000","14.39","2026-04-09 20:05:00",""
"","51","1000","10999","16.05","2026-04-09 20:05:00",""
"","51","11000","49999","15.64","2026-04-09 20:05:00",""
"","51","50000","99999","15.22","2026-04-09 20:05:00",""
"","51","100000","200000","14.4","2026-04-09 20:05:00",""
"","52","1000","10999","17.33","2026-04-09 20:05:00",""
"","52","11000","49999","16.99","2026-04-09 20:05:00",""
"","52","50000","99999","16.64","2026-04-09 20:05:00",""
"","52","100000","200000","15.96","2026-04-09 20:05:00",""
"","53","1000","10999","17.65","2026-04-09 20:05:00",""
"","53","11000","49999","17.31","2026-04-09 20:05:00",""
"","53","50000","99999","16.96","2026-04-09 20:05:00",""
"","53","100000","200000","16.28","2026-04-09 20:05:00",""
"","53","2000","10999","15.36","2026-04-09 20:05:00",""
"","53","11000","200000","15.31","2026-04-09 20:05:00",""
"","54","1000","10999","15.65","2026-04-09 20:05:00",""
"","54","11000","49999","14.96","2026-04-09 20:05:00",""
"","54","50000","99999","14.27","2026-04-09 20:05:00",""
"","54","100000","200000","12.89","2026-04-09 20:05:00",""
"","55","1000","10999","15.68","2026-04-09 20:05:00",""
"","55","11000","49999","14.96","2026-04-09 20:05:00",""
"","55","50000","99999","14.24","2026-04-09 20:05:00",""
"","55","100000","200000","12.82","2026-04-09 20:05:00",""
"","56","1000","10999","15.99","2026-04-09 20:05:00",""
"","56","11000","49999","15.31","2026-04-09 20:05:00",""
"","56","50000","99999","14.62","2026-04-09 20:05:00",""
"","56","100000","200000","13.24","2026-04-09 20:05:00",""
"","57","1000","10999","16.37","2026-04-09 20:05:00",""
"","57","11000","49999","15.68","2026-04-09 20:05:00",""
"","57","50000","99999","14.99","2026-04-09 20:05:00",""
"","57","100000","200000","13.62","2026-04-09 20:05:00",""
"","58","1000","10999","15.96","2026-04-09 20:05:00",""
"","58","11000","49999","15.27","2026-04-09 20:05:00",""
"","58","50000","99999","14.58","2026-04-09 20:05:00",""
"","58","100000","200000","13.2","2026-04-09 20:05:00",""
"","59","1000","10999","28.43","2026-04-09 20:05:00",""
"","59","11000","49999","27.74","2026-04-09 20:05:00",""
"","59","50000","99999","27.06","2026-04-09 20:05:00",""
"","59","100000","200000","25.68","2026-04-09 20:05:00",""
"","60","1000","10999","27.39","2026-04-09 20:05:00",""
"","60","11000","49999","26.67","2026-04-09 20:05:00",""
"","60","50000","99999","25.95","2026-04-09 20:05:00",""
"","60","100000","200000","24.5","2026-04-09 20:05:00",""
"","61","1000","10999","14.45","2026-04-09 20:05:00",""
"","61","11000","49999","14.11","2026-04-09 20:05:00",""
"","61","50000","99999","13.77","2026-04-09 20:05:00",""
"","61","100000","200000","13.08","2026-04-09 20:05:00",""
"","62","1000","10999","17.25","2026-04-09 20:05:00",""
"","62","11000","49999","16.89","2026-04-09 20:05:00",""
"","62","50000","99999","16.53","2026-04-09 20:05:00",""
"","62","100000","200000","15.82","2026-04-09 20:05:00",""
"","63","1000","10999","15.83","2026-04-09 20:05:00",""
"","63","11000","49999","15.49","2026-04-09 20:05:00",""
"","63","50000","99999","15.14","2026-04-09 20:05:00",""
"","63","100000","200000","14.45","2026-04-09 20:05:00",""
"","64","1000","10999","13.77","2026-04-09 20:05:00",""
"","64","11000","49999","13.08","2026-04-09 20:05:00",""
"","64","50000","99999","12.39","2026-04-09 20:05:00",""
"","64","100000","200000","11.01","2026-04-09 20:05:00",""
"","65","1000","10999","27.06","2026-04-09 20:05:00",""
"","65","11000","49999","26.37","2026-04-09 20:05:00",""
"","65","50000","99999","25.68","2026-04-09 20:05:00",""
"","65","100000","200000","24.3","2026-04-09 20:05:00",""
"","66","1000","10999","27.06","2026-04-09 20:05:00",""
"","66","11000","49999","26.37","2026-04-09 20:05:00",""
"","66","50000","99999","25.68","2026-04-09 20:05:00",""
"","66","100000","200000","24.3","2026-04-09 20:05:00",""
"","67","1000","10999","27.06","2026-04-09 20:05:00",""
"","67","11000","49999","26.37","2026-04-09 20:05:00",""
"","67","50000","99999","25.68","2026-04-09 20:05:00",""
"","67","100000","200000","24.3","2026-04-09 20:05:00",""
"","68","1000","10999","28.43","2026-04-09 20:05:00",""
"","68","11000","49999","27.74","2026-04-09 20:05:00",""
"","68","50000","99999","27.06","2026-04-09 20:05:00",""
"","68","100000","200000","25.68","2026-04-09 20:05:00",""
"","69","1000","10999","27.27","2026-04-09 20:05:00",""
"","69","11000","49999","26.58","2026-04-09 20:05:00",""
"","69","50000","99999","25.9","2026-04-09 20:05:00",""
"","69","100000","200000","24.52","2026-04-09 20:05:00",""
"","70","1000","10999","27.27","2026-04-09 20:05:00",""
"","70","11000","49999","26.58","2026-04-09 20:05:00",""
"","70","50000","99999","25.9","2026-04-09 20:05:00",""
"","70","100000","200000","24.52","2026-04-09 20:05:00",""
"","71","1000","10999","27.27","2026-04-09 20:05:00",""
"","71","11000","49999","26.58","2026-04-09 20:05:00",""
"","71","50000","99999","25.9","2026-04-09 20:05:00",""
"","71","100000","200000","24.52","2026-04-09 20:05:00",""
"","72","1000","10999","27.27","2026-04-09 20:05:00",""
"","72","11000","49999","26.58","2026-04-09 20:05:00",""
"","72","50000","99999","25.9","2026-04-09 20:05:00",""
"","72","100000","200000","24.52","2026-04-09 20:05:00",""
"","73","1000","10999","27.27","2026-04-09 20:05:00",""
"","73","11000","49999","26.58","2026-04-09 20:05:00",""
"","73","50000","99999","25.9","2026-04-09 20:05:00",""
"","73","100000","200000","24.52","2026-04-09 20:05:00",""
"","74","1000","10999","27.27","2026-04-09 20:05:00",""
"","74","11000","49999","26.58","2026-04-09 20:05:00",""
"","74","50000","99999","25.9","2026-04-09 20:05:00",""
"","74","100000","200000","24.52","2026-04-09 20:05:00",""
"","75","1000","10999","27.34","2026-04-09 20:05:00",""
"","75","11000","49999","26.61","2026-04-09 20:05:00",""
"","75","50000","99999","25.89","2026-04-09 20:05:00",""
"","75","100000","200000","24.44","2026-04-09 20:05:00",""
"","76","1000","10999","27.27","2026-04-09 20:05:00",""
"","76","11000","49999","26.58","2026-04-09 20:05:00",""
"","76","50000","99999","25.9","2026-04-09 20:05:00",""
"","76","100000","200000","24.52","2026-04-09 20:05:00",""
"","77","1000","10999","30.32","2026-04-09 20:05:00",""
"","77","11000","49999","29.63","2026-04-09 20:05:00",""
"","77","50000","99999","28.94","2026-04-09 20:05:00",""
"","77","100000","200000","27.56","2026-04-09 20:05:00",""
"","78","1000","10999","30.32","2026-04-09 20:05:00",""
"","78","11000","49999","29.63","2026-04-09 20:05:00",""
"","78","50000","99999","28.94","2026-04-09 20:05:00",""
"","78","100000","200000","27.56","2026-04-09 20:05:00",""
"","79","1000","10999","18.21","2026-04-09 20:05:00",""
"","79","11000","49999","17.51","2026-04-09 20:05:00",""
"","79","50000","99999","16.81","2026-04-09 20:05:00",""
"","79","100000","200000","15.41","2026-04-09 20:05:00",""
"","80","1000","10999","15.09","2026-04-09 20:05:00",""
"","80","11000","49999","14.98","2026-04-09 20:05:00",""
"","80","50000","99999","14.87","2026-04-09 20:05:00",""
"","80","100000","200000","14.59","2026-04-09 20:05:00",""
"","81","1000","10999","14.13","2026-04-09 20:05:00",""
"","81","11000","49999","13.7","2026-04-09 20:05:00",""
"","81","50000","99999","13.27","2026-04-09 20:05:00",""
"","81","100000","200000","12.98","2026-04-09 20:05:00",""
"","81","1000","49999","0","2026-04-09 20:05:00",""
"","81","50000","200000","8.53","2026-04-09 20:05:00",""
"","82","1000","49999","0","2026-04-09 20:05:00",""
"","82","50000","200000","9.58","2026-04-09 20:05:00",""
"","83","1000","10999","17.39","2026-04-09 20:05:00",""
"","83","11000","49999","16.67","2026-04-09 20:05:00",""
"","83","50000","99999","15.95","2026-04-09 20:05:00",""
"","83","100000","200000","14.52","2026-04-09 20:05:00",""
"","84","1000","10999","15.09","2026-04-09 20:05:00",""
"","84","11000","49999","14.98","2026-04-09 20:05:00",""
"","84","50000","99999","14.87","2026-04-09 20:05:00",""
"","84","100000","200000","14.59","2026-04-09 20:05:00",""
"","85","1000","10999","17.42","2026-04-09 20:05:00",""
"","85","11000","49999","16.94","2026-04-09 20:05:00",""
"","85","50000","99999","16.47","2026-04-09 20:05:00",""
"","85","100000","200000","15.79","2026-04-09 20:05:00",""
"","86","1000","10999","24.38","2026-04-09 20:05:00",""
"","86","11000","49999","23.69","2026-04-09 20:05:00",""
"","86","50000","99999","23.01","2026-04-09 20:05:00",""
"","86","100000","200000","21.63","2026-04-09 20:05:00",""
"","87","1000","10999","25.89","2026-04-09 20:05:00",""
"","87","11000","49999","25.13","2026-04-09 20:05:00",""
"","87","50000","99999","24.37","2026-04-09 20:05:00",""
"","87","100000","200000","23.75","2026-04-09 20:05:00",""
"","88","1000","10999","25.83","2026-04-09 20:05:00",""
"","88","11000","49999","25.07","2026-04-09 20:05:00",""
"","88","50000","99999","24.31","2026-04-09 20:05:00",""
"","88","100000","200000","23.69","2026-04-09 20:05:00",""
"","89","1000","10999","25.82","2026-04-09 20:05:00",""
"","89","11000","49999","25.03","2026-04-09 20:05:00",""
"","89","50000","99999","24.23","2026-04-09 20:05:00",""
"","89","100000","200000","23.53","2026-04-09 20:05:00",""
"","90","1000","10999","25.82","2026-04-09 20:05:00",""
"","90","11000","49999","25.03","2026-04-09 20:05:00",""
"","90","50000","99999","24.23","2026-04-09 20:05:00",""
"","90","100000","200000","23.53","2026-04-09 20:05:00",""
"","91","1000","10999","25.82","2026-04-09 20:05:00",""
"","91","11000","49999","24.36","2026-04-09 20:05:00",""
"","91","50000","99999","22.91","2026-04-09 20:05:00",""
"","91","100000","200000","22.23","2026-04-09 20:05:00",""
"","92","1000","10999","25.82","2026-04-09 20:05:00",""
"","92","11000","49999","24.36","2026-04-09 20:05:00",""
"","92","50000","99999","22.91","2026-04-09 20:05:00",""
"","92","100000","200000","22.23","2026-04-09 20:05:00",""
